Atoll,island,atoll_official,indicator_full,value,sex_modifier,population_modifier,indicator,indicator2,value2,index
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Growth Rate (for Resident Maldivian Population - 2014 to 2022),-0.7573644309811223,NA,Resident Maldivians,Growth Rate (for  - 2014 to 2022),Growth Rate (for  - 2014 to 2022),-0.7573644309811223,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Foreigners (%) (out of resident Population),5.366726296958855,NA,NA,Resident Foreigners (%) (out of resident Population),Resident Foreigners (%) (out of resident Population),5.366726296958855,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Sex Ratio (males per 100 female),89.6057347670251,NA,Resident Maldivians, 2022 Sex Ratio (males per 100 female), 2022 Sex Ratio (males per 100 female),89.6057347670251,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Dependency Ratio,54.67836257309941,NA,Resident Maldivians, 2022 Dependency Ratio, 2022 Dependency Ratio,54.67836257309941,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Child Dependency Ratio,41.52046783625731,NA,Resident Maldivians, 2022 Child Dependency Ratio, 2022 Child Dependency Ratio,41.52046783625731,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Aged-Dependency Ratio,13.157894736842104,NA,Resident Maldivians, 2022 Aged-Dependency Ratio, 2022 Aged-Dependency Ratio,13.157894736842104,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Child Population (0-17 yrs) Both sexes,171,Both sexes,Resident Maldivians, 2022 Child Population (0-17 yrs) Both sexes, 2022 Child Population (0-17 yrs) Both sexes,171,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Child Population (International) (0-14 yrs) Both sexes,142,Both sexes,Resident Maldivians, 2022 Child Population (International) (0-14 yrs) Both sexes, 2022 Child Population (International) (0-14 yrs) Both sexes,142,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Adolescent Population (International) (10-19 yrs) Both sexes,84,Both sexes,Resident Maldivians, 2022 Adolescent Population (International) (10-19 yrs) Both sexes, 2022 Adolescent Population (International) (10-19 yrs) Both sexes,84,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Working Age Population (15-64 yrs) Both sexes,342,Both sexes,Resident Maldivians, 2022 Working Age Population (15-64 yrs) Both sexes, 2022 Working Age Population (15-64 yrs) Both sexes,342,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Youth Population (International) (15-24 yrs) Both sexes,55,Both sexes,Resident Maldivians, 2022 Youth Population (International) (15-24 yrs) Both sexes, 2022 Youth Population (International) (15-24 yrs) Both sexes,55,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Youth Population (National) (18-35 yrs) Both sexes,117,Both sexes,Resident Maldivians, 2022 Youth Population (National) (18-35 yrs) Both sexes, 2022 Youth Population (National) (18-35 yrs) Both sexes,117,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Elderly Population  (65+ yrs) Both sexes,45,Both sexes,Resident Maldivians, 2022 Elderly Population  (65+ yrs) Both sexes, 2022 Elderly Population  (65+ yrs) Both sexes,45,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Maldivian Population (%) Child Population (0-17 yrs),32.32514177693761,NA,Resident Maldivians, (%) Child Population (0-17 yrs), (%) Child Population (0-17 yrs),32.32514177693761,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Maldivian Population (%) Child Population (International) (0-14 yrs),26.84310018903592,NA,Resident Maldivians, (%) Child Population (International) (0-14 yrs), (%) Child Population (International) (0-14 yrs),26.84310018903592,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Maldivian Population (%) Adolescent Population (International) (10-19 yrs),15.879017013232513,NA,Resident Maldivians, (%) Adolescent Population (International) (10-19 yrs), (%) Adolescent Population (International) (10-19 yrs),15.879017013232513,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Maldivian Population (%) Working Age Population (15-64 yrs),64.65028355387523,NA,Resident Maldivians, (%) Working Age Population (15-64 yrs), (%) Working Age Population (15-64 yrs),64.65028355387523,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Maldivian Population (%) Youth Population (International) (15-24 yrs),10.396975425330812,NA,Resident Maldivians, (%) Youth Population (International) (15-24 yrs), (%) Youth Population (International) (15-24 yrs),10.396975425330812,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Maldivian Population (%) Youth Population (National) (18-35 yrs),22.117202268431,NA,Resident Maldivians, (%) Youth Population (National) (18-35 yrs), (%) Youth Population (National) (18-35 yrs),22.117202268431,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Maldivian Population (%) Elderly Population  (65+ yrs),8.5066162570888455,NA,Resident Maldivians, (%) Elderly Population  (65+ yrs), (%) Elderly Population  (65+ yrs),8.5066162570888455,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Area (in hectare),266.042832,NA,NA,Area (in hectare),Area (in hectare),266.042832,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Area (in sq km),2.66042832,NA,NA,Area (in sq km),Area (in sq km),2.66042832,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Population density Resident Maldivian Population,198.84016269981672,NA,Resident Maldivians,Population density ,Population density ,198.84016269981672,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Median Age Resident Maldivians,33,NA,Resident Maldivians,Median Age Resident Maldivians,Median Age Resident Maldivians,33,"Filladhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Hoarafushi,Haa Alif Atoll,Resident Maldivians Population Both sexes,1654,Both sexes,Resident Maldivians,Resident Maldivians Population Both sexes,Resident Maldivians Population Both sexes,1654,"Hoarafushi, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Hoarafushi,Haa Alif Atoll,Growth Rate (for Resident Maldivian Population - 2014 to 2022),-0.5332915652032113,NA,Resident Maldivians,Growth Rate (for  - 2014 to 2022),Growth Rate (for  - 2014 to 2022),-0.5332915652032113,"Hoarafushi, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Hoarafushi,Haa Alif Atoll,Resident Foreigners (%) (out of resident Population),10.157523085279738,NA,NA,Resident Foreigners (%) (out of resident Population),Resident Foreigners (%) (out of resident Population),10.157523085279738,"Hoarafushi, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Sex Ratio (males per 100 female),100.48484848484848,NA,Resident Maldivians, 2022 Sex Ratio (males per 100 female), 2022 Sex Ratio (males per 100 female),100.48484848484848,"Hoarafushi, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Dependency Ratio,65.56556556556556,NA,Resident Maldivians, 2022 Dependency Ratio, 2022 Dependency Ratio,65.56556556556556,"Hoarafushi, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Child Dependency Ratio,49.44944944944945,NA,Resident Maldivians, 2022 Child Dependency Ratio, 2022 Child Dependency Ratio,49.44944944944945,"Hoarafushi, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Aged-Dependency Ratio,16.116116116116117,NA,Resident Maldivians, 2022 Aged-Dependency Ratio, 2022 Aged-Dependency Ratio,16.116116116116117,"Hoarafushi, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Child Population (0-17 yrs) Both sexes,547,Both sexes,Resident Maldivians, 2022 Child Population (0-17 yrs) Both sexes, 2022 Child Population (0-17 yrs) Both sexes,547,"Hoarafushi, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Child Population (International) (0-14 yrs) Both sexes,494,Both sexes,Resident Maldivians, 2022 Child Population (International) (0-14 yrs) Both sexes, 2022 Child Population (International) (0-14 yrs) Both sexes,494,"Hoarafushi, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Adolescent Population (International) (10-19 yrs) Both sexes,250,Both sexes,Resident Maldivians, 2022 Adolescent Population (International) (10-19 yrs) Both sexes, 2022 Adolescent Population (International) (10-19 yrs) Both sexes,250,"Hoarafushi, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Working Age Population (15-64 yrs) Both sexes,999,Both sexes,Resident Maldivians, 2022 Working Age Population (15-64 yrs) Both sexes, 2022 Working Age Population (15-64 yrs) Both sexes,999,"Hoarafushi, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Youth Population (International) (15-24 yrs) Both sexes,115,Both sexes,Resident Maldivians, 2022 Youth Population (International) (15-24 yrs) Both sexes, 2022 Youth Population (International) (15-24 yrs) Both sexes,115,"Hoarafushi, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Youth Population (National) (18-35 yrs) Both sexes,371,Both sexes,Resident Maldivians, 2022 Youth Population (National) (18-35 yrs) Both sexes, 2022 Youth Population (National) (18-35 yrs) Both sexes,371,"Hoarafushi, Thiladhunmathee Uthuruburi"
