dataset,indicator,atoll_official,island,value,atoll_official_name,adm1_pcode,local_names,adm2_pcode,indicator2,value2
Employment,Unemployment rate (%),Baa Atoll,Hithaadhoo,5.095541401273886,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007010,Unemployment rate (%),5.095541401273886
Employment,Combined rate of unemployment and potential labour force (%),Baa Atoll,Hithaadhoo,17.90633608815427,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007010,Combined rate of unemployment and potential labour force (%),17.90633608815427
Employment,Inactivity rate (%),Baa Atoll,Hithaadhoo,37.2,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007010,Inactivity rate (%),37.2
Employment,Youth unemployment rate (15-24 years) (%),Baa Atoll,Hithaadhoo,19.444444444444446,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007010,Youth unemployment rate (15-24 years) (%),19.444444444444446
Employment,Youth unemployment rate (18-35years) (%),Baa Atoll,Hithaadhoo,5.384615384615385,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007010,Youth unemployment rate (18-35years) (%),5.384615384615385
Employment,NEET rate (15-24 years) (%),Baa Atoll,Hithaadhoo,23.684210526315788,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007010,NEET rate (15-24 years) (%),23.684210526315788
Employment,NEET rate (18-35 years) (%),Baa Atoll,Hithaadhoo,5.294117647058823,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007010,NEET rate (18-35 years) (%),5.294117647058823
Employment,Labour force participation rate (%),Baa Atoll,Kamadhoo,80.26607538802661,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007002,Labour force participation rate (%),80.26607538802661
Employment,Employment-to-population ratio (%),Baa Atoll,Kamadhoo,77.38359201773835,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007002,Employment-to-population ratio (%),77.38359201773835
Employment,Unemployment rate (%),Baa Atoll,Kamadhoo,3.591160220994475,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007002,Unemployment rate (%),3.591160220994475
Employment,Combined rate of unemployment and potential labour force (%),Baa Atoll,Kamadhoo,12.090680100755668,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007002,Combined rate of unemployment and potential labour force (%),12.090680100755668
Employment,Inactivity rate (%),Baa Atoll,Kamadhoo,19.733924611973393,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007002,Inactivity rate (%),19.733924611973393
Employment,Youth unemployment rate (15-24 years) (%),Baa Atoll,Kamadhoo,4.10958904109589,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007002,Youth unemployment rate (15-24 years) (%),4.10958904109589
