data_id_yymmdd_iccs_sl,category,sub_category,no_of_incident,year,month,week,date,time,district,upazila,up,village_camp,specific_location_camp_block,type_of_location,longitude,latitude,cause,mechanism_used,type_of_weapon_used,nationality_of_perpetrator,victime_perpetrator_relation_vi_p,security_force_acted_on_for_seizure_detained,nationality_of_victim,children,death_bd_m,death_bd_f,death_ro_m,death_ro_f,death_unidentified,total_death,injury_bd_m,injury_bd_f,injury_ro_m,injury_ro_f,injury_unidentified,total_injured,detain_bd_m,detain_bd_f,detain_ro_m,detain_ro_f,detain_unidentified,total_detain,seize_yaba_piece,crystal_meth,seize_marijuana_kg,seize_alcohol_ltr_number_of_bottle_0_75_and_if_alcohol_can_number_can_300,opium_heroin,seize_phensidyl_btl,seize_firearm,seize_bullets,seize_illegal_goods,description,source_1,source_2,source_3,source_4,source_5,mode_of_transport,remarks,column1,column2
230522062,Drug,trade,1,2023,May,23.21,2023-05-22,NA,Cox's Bazar,Teknaf,Whykong,NA,Checkpost,Road,92.18664,21.130115,illicit gain,NAp,NAp,Bangladeshi,NAv,BGB,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4000,0,0,0,0,0,0,0,0,"On 22 May 2023 in the evening, Border Guard Bangladesh (BGB) arrested a drug smuggler along with 4,000 pieces of Yaba tablet after searching a CNG by dog squad at Whykong check post in Teknaf of Cox's Bazar.",Parbatta News (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230525062,Drug,trade,1,2023,May,23.21,2023-05-25,0.9791666666666666,Cox's Bazar,Teknaf,Hnila,Jadimora,NA,Residence,92.18664,21.130115,illicit gain,NAp,NAp,Rohingya and Bangladeshi,NAp,RAB,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,9800,0,0,0,0,0,0,0,37400 BDT,"On 25 May 2023, Rapid Action Battalion conducted an operation and arrested three women and a man along with 9,800 pieces of yaba pill and drug sale cash BDT37,400 at Nhila Jadimura area of Teknaf Upazila in Cox’s Bazar.",Teknaf Today (Bang.),RAB Facebook Page,NA,NA,NA,NA,NA,NA,NA
230719062,Drug,trade,1,2023,July,23.29,2023-07-19,NA,Cox's Bazar,Teknaf,Whykong,Satghoria,NA,Road,92.186495,21.130351,illicit gain,NAp,NAp,Bangladeshi,NAp,RAB,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,23600,0,0,0,0,0,0,0,0,"On 19 July 2023, RAB (Rapid Action Battalion) arrested a drug dealer and recovered 23,600 pcs Yaba pills from his possession at Whykong area of Teknaf Upazila in Cox’s Bazar.",Coxsbazar Journal (bang.),NA,NA,NA,NA,NA,NA,NA,NA
230113021,Violence,kidnapping,1,2023,January,23.02,2023-01-13,NA,Cox's Bazar,Teknaf,Whykong,Camp 21,Camp 21,inside camp,92.15595,21.13057,Illicit gain,NAp,NAp,NAv,NAp,APBn,NA,NA,0,0,0,0,0,0,0,0,6,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"6 Rohingya men were abducted from Camp No. 21 in Chakmarkul, Huaikung Union, Teknaf on Friday (January 13).  Each family is asked for 50000 BDT as ransom. Kidnapped 6 Rohingya returned with a ransom of 3 lakh taka, 1 detained",Ukhiya News (Bang.),BD News24 (Bang.),Prothom Alo (Bang.),NA,NA,NA,NA,NA,NA
230103062,Drug,trade,1,2023,January,23.01,2023-01-02,NA,Cox's Bazar,Teknaf,Whykong,Monirghone,Monirghone,Road,92.18374,21.13116,Illicit gain,NAp,NAp,Bangladeshi,NAp,Police,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,11.4,0,0,0,0,0,Police arrested two Bangladeshi men in Teknaf along with 38 bottles alcohol.,CBNBD (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
231008062,Drug,trade,1,2023,October,23.41,2023-10-08,0.6041666666666666,Cox's Bazar,Teknaf,Whykong,NA,NA,Road,92.180759,21.133224,Illicit gain,NAp,NAv,Bangladeshi,NAv,RAB,NA,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,26.7,0,0,0,0,0,RAB arrested a Bangladeshi man in Ukhiya with 89 cans beer.,RAB Facebook Page,NA,NA,NA,NA,NA,NA,NA,NA
230918064,Drug,trade,1,2023,September,23.38,2023-09-18,0.875,Cox's Bazar,Teknaf,Whykong,NA,NA,Road,92.192206,21.13354,Illicit gain,NAv,NAv,Bangladeshi,NAv,RAB,NA,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20000,0,0,0,0,0,0,0,0,"On 18 September 2023 at 21:00hrs, Border Guard Bangladesh (BGB) arrested a drug dealer with 20,000 pcs of Yaba tablets in Whykong of Teknaf Upazila in Cox’s Bazar.",Teknaf Today (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230217061,Drug,trade,1,2023,February,23.07,2023-02-17,NA,Cox's Bazar,Teknaf,Whykong,NA,Near border,Road,92.194948,21.134937999999998,Illicit gain,NAp,NAp,Bangladeshi,NA,RAB,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,70.8,0,0,0,0,0,On 17 Feb. On RAB arrested two Two Bangladeshi drug dealers with 96 cans of foreign beer and 12 cans of foreign liquor Whykong area under Teknaf.,Coxsbazar Journal (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230405063,Drug,trade,1,2023,April,23.14,2023-04-05,0.8125,Cox's Bazar,Teknaf,Teknaf Sadar,Whykong,NAv,Land,92.18372,21.13668,Illicit gain,NAp,NAp,Bangladeshi,NAp,RAB,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,25,0,0,0,"On 05 April 2023 night, Rapid Action Battalion (RAB) conducted a raid arrested a drug dealer with 25 bottles of Phensidil in Whykong area of Teknaf Upazila in Cox’s Bazar.",Parbattanews (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230331061,Drug,trade,1,2023,March,23.13,2023-03-31,0.3333333333333333,Cox's Bazar,Teknaf,Whykong,NA,NA,Road,92.173694,21.136853,Illicit gain,Nav,Nav,Bangladeshi,NAp,BGB,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,20000,0,0,0,0,0,0,0,0,BGB arrested two Bangladeshi men in Teknaf with 20000 yaba pills.,Teknaf Today (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
