dataset,indicator,atoll_official,island,value,normalized_value,sort_order,atoll_official_name,population,indicator2,value2
"Hithaadhoo, Maalhosmadulu Dhekunuburi",Population,Baa Atoll,Hithaadhoo,744,0.14176289013376014,4,Maalhosmadulu Dhekunuburi,744,Population,744
"Kamadhoo, Maalhosmadulu Dhekunuburi",Population,Baa Atoll,Kamadhoo,552,0.10517891848633817,4,Maalhosmadulu Dhekunuburi,552,Population,552
"Kendhoo, Maalhosmadulu Dhekunuburi",Population,Baa Atoll,Kendhoo,1002,0.19092260203498343,4,Maalhosmadulu Dhekunuburi,1002,Population,1002
"Kihaadhoo, Maalhosmadulu Dhekunuburi",Population,Baa Atoll,Kihaadhoo,481,0.09165047063755193,4,Maalhosmadulu Dhekunuburi,481,Population,481
"Kudarikilu, Maalhosmadulu Dhekunuburi",Population,Baa Atoll,Kudarikilu,557,0.10613162608132312,4,Maalhosmadulu Dhekunuburi,557,Population,557
"Maalhoss, Maalhosmadulu Dhekunuburi",Population,Baa Atoll,Maalhoss,572,0.10898974886627796,4,Maalhosmadulu Dhekunuburi,572,Population,572
"Thulhaadhoo, Maalhosmadulu Dhekunuburi",Population,Baa Atoll,Thulhaadhoo,1625,0.3096299683701078,4,Maalhosmadulu Dhekunuburi,1625,Population,1625
"Hinnavaru, Faadhippolhu",Population,Lhaviyani Atoll,Hinnavaru,2286,0.43557791242711785,5,Faadhippolhu,2286,Population,2286
"Kurendhoo, Faadhippolhu",Population,Lhaviyani Atoll,Kurendhoo,1171,0.22312411874547464,5,Faadhippolhu,1171,Population,1171
"Naifaru, Faadhippolhu",Population,Lhaviyani Atoll,Naifaru,4832,0.920696619793453,5,Faadhippolhu,4832,Population,4832
"Olhuvelifushi, Faadhippolhu",Population,Lhaviyani Atoll,Olhuvelifushi,703,0.13395068785488357,5,Faadhippolhu,703,Population,703
"Dhiffushi, Malé Atholhu",Population,Kaafu Atoll,Dhiffushi,1270,0.24198772912617658,10,Malé Atholhu,1270,Population,1270
"Gaafaru, Malé Atholhu",Population,Kaafu Atoll,Gaafaru,1294,0.24656072558210435,10,Malé Atholhu,1294,Population,1294
"Gulhi, Malé Atholhu",Population,Kaafu Atoll,Gulhi,976,0.18596852254106172,10,Malé Atholhu,976,Population,976
"Guraidhoo, Malé Atholhu",Population,Kaafu Atoll,Guraidhoo,1743,0.33211386761175254,10,Malé Atholhu,1743,Population,1743
"Himmafushi, Malé Atholhu",Population,Kaafu Atoll,Himmafushi,2012,0.38336953622194275,10,Malé Atholhu,2012,Population,2012
"Huraa, Malé Atholhu",Population,Kaafu Atoll,Huraa,1654,0.31515567242102055,10,Malé Atholhu,1654,Population,1654
"Kaashidhoo, Malé Atholhu",Population,Kaafu Atoll,Kaashidhoo,2528,0.4816889600243893,10,Malé Atholhu,2528,Population,2528
"Maafushi, Malé Atholhu",Population,Kaafu Atoll,Maafushi,4471,0.8519111314355399,10,Malé Atholhu,4471,Population,4471
"Thulusdhoo, Malé Atholhu",Population,Kaafu Atoll,Thulusdhoo,1801,0.343165275713578,10,Malé Atholhu,1801,Population,1801
"Bodufolhudhoo, Ari Atholhu Uthuruburi",Population,Alif Uthuru Buri,Bodufolhudhoo,704,0.13414122937388057,9,Ari Atholhu Uthuruburi,704,Population,704
"Feridhoo, Ari Atholhu Uthuruburi",Population,Alif Uthuru Buri,Feridhoo,544,0.10365458633436227,9,Ari Atholhu Uthuruburi,544,Population,544
"Himandhoo, Ari Atholhu Uthuruburi",Population,Alif Uthuru Buri,Himandhoo,885,0.16862924431233564,9,Ari Atholhu Uthuruburi,885,Population,885
"Maalhoss, Ari Atholhu Uthuruburi",Population,Alif Uthuru Buri,Maalhoss,516,0.09831942380244654,9,Ari Atholhu Uthuruburi,516,Population,516
"Mathiveri, Ari Atholhu Uthuruburi",Population,Alif Uthuru Buri,Mathiveri,878,0.16729545367935672,9,Ari Atholhu Uthuruburi,878,Population,878
"Rasdhoo, Ari Atholhu Uthuruburi",Population,Alif Uthuru Buri,Rasdhoo,1282,0.24427422735414045,9,Ari Atholhu Uthuruburi,1282,Population,1282
"Thoddoo, Ari Atholhu Uthuruburi",Population,Alif Uthuru Buri,Thoddoo,1924,0.3666018825502077,9,Ari Atholhu Uthuruburi,1924,Population,1924
