Category,Sum of Value,ADMIN LEVEL-1 (Division),ADMIN LEVEL-2 (District) ,BDP Climate Zone,Column,Sum of Geocode,Sum of Rank-Coping Capacity,Sum of Rank-Vulnerability,RISK CLASS,RISK CLASS-Lack of Coping Capcity,RISK CLASS-Vulnerability,RISK CLASS_Hazard Exposure,Sum of Rank-Risk
Earthquake Risk,9.2,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Earthquake Risk,9.2,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Earthquake Risk,9.2,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Earthquake Risk,9.2,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Earthquake Risk,9.2,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Earthquake Risk,9.2,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Earthquake Risk,9.2,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Earthquake Risk,9.2,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Earthquake Risk,9.2,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Earthquake Risk,9.2,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Earthquake Risk,9.2,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Earthquake Risk,9.2,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Earthquake Risk,9.2,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Earthquake Risk,9.2,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Economic dependency,2.8,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Economic dependency,2.2,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Economic dependency,2.2,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Economic dependency,2.8,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Economic dependency,1.9,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Economic dependency,2.7,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Economic dependency,2.4,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Economic dependency,2.3,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Economic dependency,2.1,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Economic dependency,2.5,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Economic dependency,2.2,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Economic dependency,2.5,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Economic dependency,2.7,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Economic dependency,2.2,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Economic dependency,2.6,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Economic dependency,1.6,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
