Category,Sum of Value,ADMIN LEVEL-1 (Division),ADMIN LEVEL-2 (District) ,BDP Climate Zone,Column,Sum of Geocode,Sum of Rank-Coping Capacity,Sum of Rank-Vulnerability,RISK CLASS,RISK CLASS-Lack of Coping Capcity,RISK CLASS-Vulnerability,RISK CLASS_Hazard Exposure,Sum of Rank-Risk
Inequality,5.2,Chattogram,Feni,Cross Cutting Area,BD2030,2030,17,43,Medium,High,Low,Medium,40
Inequality,5.1,Dhaka,Dhaka,Cross Cutting Area,BD3026,3026,39,23,Medium,Medium,Medium,Very Low,31
Inequality,5.5,Dhaka,Faridpur,Cross Cutting Area,BD3029,3029,44,38,Medium,Low,Low,High,40
Inequality,4.7,Dhaka,Gazipur,Cross Cutting Area,BD3033,3033,30,57,Low,Medium,Very Low,Very Low,56
Inequality,6.2,Dhaka,Madaripur,Cross Cutting Area,BD3054,3054,1,46,Medium,Very High,Low,High,25
Inequality,5.3,Dhaka,Manikganj,Cross Cutting Area,BD3056,3056,30,28,Medium,Medium,Medium,Low,25
Inequality,5.6,Dhaka,Munshiganj,Cross Cutting Area,BD3059,3059,44,35,Low,Low,Low,Very Low,52
Inequality,5.7,Dhaka,Narayanganj,Cross Cutting Area,BD3067,3067,30,64,Very Low,Medium,Very Low,Very Low,64
Inequality,5.9,Dhaka,Narsingdi,Cross Cutting Area,BD3068,3068,44,62,Very Low,Low,Very Low,Very Low,62
Inequality,5.9,Dhaka,Rajbari,Cross Cutting Area,BD3082,3082,54,43,Low,Low,Low,Medium,45
Inequality,5.4,Dhaka,Tangail,Cross Cutting Area,BD3093,3093,44,33,Medium,Low,Low,High,31
Inequality,5.8,Khulna,Chuadanga,Cross Cutting Area,BD4018,4018,39,38,Low,Medium,Low,Very Low,45
Inequality,5.6,Khulna,Jhenaidah,Cross Cutting Area,BD4044,4044,44,61,Very Low,Low,Very Low,Low,61
Inequality,7.6,Khulna,Khulna,Cross Cutting Area,BD4047,4047,39,11,High,Medium,High,High,11
Inequality,5.4,Khulna,Magura,Cross Cutting Area,BD4055,4055,44,59,Low,Low,Very Low,Medium,56
Inequality,5.4,Khulna,Meherpur,Cross Cutting Area,BD4057,4057,54,51,Low,Low,Low,Low,56
Inequality,5.6,Khulna,Narail,Cross Cutting Area,BD4065,4065,1,55,Low,Very High,Low,Very Low,45
Inequality,6,Mymensingh,Mymensingh,Cross Cutting Area,BD4561,4561,10,46,Medium,Very High,Low,Medium,31
Inequality,5.2,Mymensingh,Netrakona,Cross Cutting Area,BD4572,4572,10,32,High,Very High,Medium,Medium,16
Inequality,6.7,Mymensingh,Sherpur,Cross Cutting Area,BD4589,4589,1,38,Medium,Very High,Low,Medium,25
Inequality,5.7,Rajshahi,Bogura,Cross Cutting Area,BD5010,5010,44,23,Medium,Low,Medium,High,25
INFORM Infrastructure,2.8,Chattogram,Cumilla,Cross Cutting Area,BD2019,2019,62,62,Very Low,Very Low,Very Low,Medium,62
INFORM Infrastructure,2.9,Chattogram,Feni,Cross Cutting Area,BD2030,2030,17,43,Medium,High,Low,Medium,40
INFORM Infrastructure,2.9,Dhaka,Dhaka,Cross Cutting Area,BD3026,3026,39,23,Medium,Medium,Medium,Very Low,31
INFORM Infrastructure,3.3,Dhaka,Faridpur,Cross Cutting Area,BD3029,3029,44,38,Medium,Low,Low,High,40
INFORM Infrastructure,3.2,Dhaka,Gazipur,Cross Cutting Area,BD3033,3033,30,57,Low,Medium,Very Low,Very Low,56
INFORM Infrastructure,2.9,Dhaka,Madaripur,Cross Cutting Area,BD3054,3054,1,46,Medium,Very High,Low,High,25
INFORM Infrastructure,3.5,Dhaka,Manikganj,Cross Cutting Area,BD3056,3056,30,28,Medium,Medium,Medium,Low,25
INFORM Infrastructure,3.3,Dhaka,Munshiganj,Cross Cutting Area,BD3059,3059,44,35,Low,Low,Low,Very Low,52
INFORM Infrastructure,3.2,Dhaka,Narayanganj,Cross Cutting Area,BD3067,3067,30,64,Very Low,Medium,Very Low,Very Low,64
INFORM Infrastructure,3.1,Dhaka,Narsingdi,Cross Cutting Area,BD3068,3068,44,62,Very Low,Low,Very Low,Very Low,62
INFORM Infrastructure,2.9,Dhaka,Rajbari,Cross Cutting Area,BD3082,3082,54,43,Low,Low,Low,Medium,45
INFORM Infrastructure,3.3,Dhaka,Tangail,Cross Cutting Area,BD3093,3093,44,33,Medium,Low,Low,High,31
INFORM Infrastructure,2.9,Khulna,Chuadanga,Cross Cutting Area,BD4018,4018,39,38,Low,Medium,Low,Very Low,45
INFORM Infrastructure,2.9,Khulna,Jhenaidah,Cross Cutting Area,BD4044,4044,44,61,Very Low,Low,Very Low,Low,61
INFORM Infrastructure,3.6,Khulna,Khulna,Cross Cutting Area,BD4047,4047,39,11,High,Medium,High,High,11
INFORM Infrastructure,2.8,Khulna,Magura,Cross Cutting Area,BD4055,4055,44,59,Low,Low,Very Low,Medium,56
INFORM Infrastructure,2.6,Khulna,Meherpur,Cross Cutting Area,BD4057,4057,54,51,Low,Low,Low,Low,56
INFORM Infrastructure,3.1,Khulna,Narail,Cross Cutting Area,BD4065,4065,1,55,Low,Very High,Low,Very Low,45
INFORM Infrastructure,4.1,Mymensingh,Mymensingh,Cross Cutting Area,BD4561,4561,10,46,Medium,Very High,Low,Medium,31
INFORM Infrastructure,4.3,Mymensingh,Netrakona,Cross Cutting Area,BD4572,4572,10,32,High,Very High,Medium,Medium,16
INFORM Infrastructure,4.8,Mymensingh,Sherpur,Cross Cutting Area,BD4589,4589,1,38,Medium,Very High,Low,Medium,25
INFORM Infrastructure,3.1,Rajshahi,Bogura,Cross Cutting Area,BD5010,5010,44,23,Medium,Low,Medium,High,25
INFORM Natural Hazard,5.6,Chattogram,Cumilla,Cross Cutting Area,BD2019,2019,62,62,Very Low,Very Low,Very Low,Medium,62
INFORM Natural Hazard,5.6,Chattogram,Feni,Cross Cutting Area,BD2030,2030,17,43,Medium,High,Low,Medium,40
INFORM Natural Hazard,5,Dhaka,Dhaka,Cross Cutting Area,BD3026,3026,39,23,Medium,Medium,Medium,Very Low,31
INFORM Natural Hazard,5.9,Dhaka,Faridpur,Cross Cutting Area,BD3029,3029,44,38,Medium,Low,Low,High,40
INFORM Natural Hazard,4.9,Dhaka,Gazipur,Cross Cutting Area,BD3033,3033,30,57,Low,Medium,Very Low,Very Low,56
INFORM Natural Hazard,6,Dhaka,Madaripur,Cross Cutting Area,BD3054,3054,1,46,Medium,Very High,Low,High,25
INFORM Natural Hazard,5.3,Dhaka,Manikganj,Cross Cutting Area,BD3056,3056,30,28,Medium,Medium,Medium,Low,25
INFORM Natural Hazard,4.4,Dhaka,Munshiganj,Cross Cutting Area,BD3059,3059,44,35,Low,Low,Low,Very Low,52
INFORM Natural Hazard,4.6,Dhaka,Narayanganj,Cross Cutting Area,BD3067,3067,30,64,Very Low,Medium,Very Low,Very Low,64
INFORM Natural Hazard,4.9,Dhaka,Narsingdi,Cross Cutting Area,BD3068,3068,44,62,Very Low,Low,Very Low,Very Low,62
INFORM Natural Hazard,5.6,Dhaka,Rajbari,Cross Cutting Area,BD3082,3082,54,43,Low,Low,Low,Medium,45
INFORM Natural Hazard,6,Dhaka,Tangail,Cross Cutting Area,BD3093,3093,44,33,Medium,Low,Low,High,31
INFORM Natural Hazard,4.9,Khulna,Chuadanga,Cross Cutting Area,BD4018,4018,39,38,Low,Medium,Low,Very Low,45
INFORM Natural Hazard,5.1,Khulna,Jhenaidah,Cross Cutting Area,BD4044,4044,44,61,Very Low,Low,Very Low,Low,61
INFORM Natural Hazard,6,Khulna,Khulna,Cross Cutting Area,BD4047,4047,39,11,High,Medium,High,High,11
INFORM Natural Hazard,5.5,Khulna,Magura,Cross Cutting Area,BD4055,4055,44,59,Low,Low,Very Low,Medium,56
INFORM Natural Hazard,5.1,Khulna,Meherpur,Cross Cutting Area,BD4057,4057,54,51,Low,Low,Low,Low,56
INFORM Natural Hazard,4.8,Khulna,Narail,Cross Cutting Area,BD4065,4065,1,55,Low,Very High,Low,Very Low,45
INFORM Natural Hazard,5.6,Mymensingh,Mymensingh,Cross Cutting Area,BD4561,4561,10,46,Medium,Very High,Low,Medium,31
INFORM Natural Hazard,5.7,Mymensingh,Netrakona,Cross Cutting Area,BD4572,4572,10,32,High,Very High,Medium,Medium,16
INFORM Natural Hazard,5.5,Mymensingh,Sherpur,Cross Cutting Area,BD4589,4589,1,38,Medium,Very High,Low,Medium,25
INFORM Natural Hazard,6.2,Rajshahi,Bogura,Cross Cutting Area,BD5010,5010,44,23,Medium,Low,Medium,High,25
INFORM Other Vulnerable Groups,3.1,Chattogram,Cumilla,Cross Cutting Area,BD2019,2019,62,62,Very Low,Very Low,Very Low,Medium,62
INFORM Other Vulnerable Groups,4.8,Chattogram,Feni,Cross Cutting Area,BD2030,2030,17,43,Medium,High,Low,Medium,40
INFORM Other Vulnerable Groups,3.9,Dhaka,Dhaka,Cross Cutting Area,BD3026,3026,39,23,Medium,Medium,Medium,Very Low,31
INFORM Other Vulnerable Groups,4.5,Dhaka,Faridpur,Cross Cutting Area,BD3029,3029,44,38,Medium,Low,Low,High,40
INFORM Other Vulnerable Groups,4.3,Dhaka,Gazipur,Cross Cutting Area,BD3033,3033,30,57,Low,Medium,Very Low,Very Low,56
INFORM Other Vulnerable Groups,4.3,Dhaka,Madaripur,Cross Cutting Area,BD3054,3054,1,46,Medium,Very High,Low,High,25
INFORM Other Vulnerable Groups,5.4,Dhaka,Manikganj,Cross Cutting Area,BD3056,3056,30,28,Medium,Medium,Medium,Low,25
INFORM Other Vulnerable Groups,4.7,Dhaka,Munshiganj,Cross Cutting Area,BD3059,3059,44,35,Low,Low,Low,Very Low,52
INFORM Other Vulnerable Groups,2.8,Dhaka,Narayanganj,Cross Cutting Area,BD3067,3067,30,64,Very Low,Medium,Very Low,Very Low,64
INFORM Other Vulnerable Groups,3.6,Dhaka,Narsingdi,Cross Cutting Area,BD3068,3068,44,62,Very Low,Low,Very Low,Very Low,62
INFORM Other Vulnerable Groups,4.5,Dhaka,Rajbari,Cross Cutting Area,BD3082,3082,54,43,Low,Low,Low,Medium,45
INFORM Other Vulnerable Groups,5.5,Dhaka,Tangail,Cross Cutting Area,BD3093,3093,44,33,Medium,Low,Low,High,31
INFORM Other Vulnerable Groups,4,Khulna,Chuadanga,Cross Cutting Area,BD4018,4018,39,38,Low,Medium,Low,Very Low,45
INFORM Other Vulnerable Groups,3.4,Khulna,Jhenaidah,Cross Cutting Area,BD4044,4044,44,61,Very Low,Low,Very Low,Low,61
INFORM Other Vulnerable Groups,4.7,Khulna,Khulna,Cross Cutting Area,BD4047,4047,39,11,High,Medium,High,High,11
INFORM Other Vulnerable Groups,4.5,Khulna,Magura,Cross Cutting Area,BD4055,4055,44,59,Low,Low,Very Low,Medium,56
INFORM Other Vulnerable Groups,4.6,Khulna,Meherpur,Cross Cutting Area,BD4057,4057,54,51,Low,Low,Low,Low,56
INFORM Other Vulnerable Groups,4.4,Khulna,Narail,Cross Cutting Area,BD4065,4065,1,55,Low,Very High,Low,Very Low,45
INFORM Other Vulnerable Groups,5.1,Mymensingh,Mymensingh,Cross Cutting Area,BD4561,4561,10,46,Medium,Very High,Low,Medium,31
INFORM Other Vulnerable Groups,5.8,Mymensingh,Netrakona,Cross Cutting Area,BD4572,4572,10,32,High,Very High,Medium,Medium,16
INFORM Other Vulnerable Groups,5.1,Mymensingh,Sherpur,Cross Cutting Area,BD4589,4589,1,38,Medium,Very High,Low,Medium,25
INFORM Other Vulnerable Groups,5.5,Rajshahi,Bogura,Cross Cutting Area,BD5010,5010,44,23,Medium,Low,Medium,High,25
INFORM RISK,4.7,Chattogram,Cumilla,Cross Cutting Area,BD2019,2019,62,62,Very Low,Very Low,Very Low,Medium,62
INFORM RISK,5.3,Chattogram,Feni,Cross Cutting Area,BD2030,2030,17,43,Medium,High,Low,Medium,40
INFORM RISK,5.4,Dhaka,Dhaka,Cross Cutting Area,BD3026,3026,39,23,Medium,Medium,Medium,Very Low,31
INFORM RISK,5.3,Dhaka,Faridpur,Cross Cutting Area,BD3029,3029,44,38,Medium,Low,Low,High,40
INFORM RISK,5,Dhaka,Gazipur,Cross Cutting Area,BD3033,3033,30,57,Low,Medium,Very Low,Very Low,56
INFORM RISK,5.5,Dhaka,Madaripur,Cross Cutting Area,BD3054,3054,1,46,Medium,Very High,Low,High,25
INFORM RISK,5.5,Dhaka,Manikganj,Cross Cutting Area,BD3056,3056,30,28,Medium,Medium,Medium,Low,25
INFORM RISK,5.1,Dhaka,Munshiganj,Cross Cutting Area,BD3059,3059,44,35,Low,Low,Low,Very Low,52
INFORM RISK,4.4,Dhaka,Narayanganj,Cross Cutting Area,BD3067,3067,30,64,Very Low,Medium,Very Low,Very Low,64
INFORM RISK,4.7,Dhaka,Narsingdi,Cross Cutting Area,BD3068,3068,44,62,Very Low,Low,Very Low,Very Low,62
INFORM RISK,5.2,Dhaka,Rajbari,Cross Cutting Area,BD3082,3082,54,43,Low,Low,Low,Medium,45
INFORM RISK,5.4,Dhaka,Tangail,Cross Cutting Area,BD3093,3093,44,33,Medium,Low,Low,High,31
INFORM RISK,5.2,Khulna,Chuadanga,Cross Cutting Area,BD4018,4018,39,38,Low,Medium,Low,Very Low,45
INFORM RISK,4.8,Khulna,Jhenaidah,Cross Cutting Area,BD4044,4044,44,61,Very Low,Low,Very Low,Low,61
INFORM RISK,5.7,Khulna,Khulna,Cross Cutting Area,BD4047,4047,39,11,High,Medium,High,High,11
INFORM RISK,5,Khulna,Magura,Cross Cutting Area,BD4055,4055,44,59,Low,Low,Very Low,Medium,56
INFORM RISK,5,Khulna,Meherpur,Cross Cutting Area,BD4057,4057,54,51,Low,Low,Low,Low,56
INFORM RISK,5.2,Khulna,Narail,Cross Cutting Area,BD4065,4065,1,55,Low,Very High,Low,Very Low,45
INFORM RISK,5.4,Mymensingh,Mymensingh,Cross Cutting Area,BD4561,4561,10,46,Medium,Very High,Low,Medium,31
INFORM RISK,5.6,Mymensingh,Netrakona,Cross Cutting Area,BD4572,4572,10,32,High,Very High,Medium,Medium,16
INFORM RISK,5.5,Mymensingh,Sherpur,Cross Cutting Area,BD4589,4589,1,38,Medium,Very High,Low,Medium,25
INFORM RISK,5.5,Rajshahi,Bogura,Cross Cutting Area,BD5010,5010,44,23,Medium,Low,Medium,High,25
INFORM Socio-Economic Vulnerability,4.8,Chattogram,Cumilla,Cross Cutting Area,BD2019,2019,62,62,Very Low,Very Low,Very Low,Medium,62
INFORM Socio-Economic Vulnerability,4.5,Chattogram,Feni,Cross Cutting Area,BD2030,2030,17,43,Medium,High,Low,Medium,40
INFORM Socio-Economic Vulnerability,3.7,Dhaka,Dhaka,Cross Cutting Area,BD3026,3026,39,23,Medium,Medium,Medium,Very Low,31
INFORM Socio-Economic Vulnerability,4.8,Dhaka,Faridpur,Cross Cutting Area,BD3029,3029,44,38,Medium,Low,Low,High,40
INFORM Socio-Economic Vulnerability,4.1,Dhaka,Gazipur,Cross Cutting Area,BD3033,3033,30,57,Low,Medium,Very Low,Very Low,56
INFORM Socio-Economic Vulnerability,3.9,Dhaka,Madaripur,Cross Cutting Area,BD3054,3054,1,46,Medium,Very High,Low,High,25
INFORM Socio-Economic Vulnerability,5.5,Dhaka,Manikganj,Cross Cutting Area,BD3056,3056,30,28,Medium,Medium,Medium,Low,25
INFORM Socio-Economic Vulnerability,4.2,Dhaka,Munshiganj,Cross Cutting Area,BD3059,3059,44,35,Low,Low,Low,Very Low,52
INFORM Socio-Economic Vulnerability,3.4,Dhaka,Narayanganj,Cross Cutting Area,BD3067,3067,30,64,Very Low,Medium,Very Low,Very Low,64
INFORM Socio-Economic Vulnerability,4.7,Dhaka,Narsingdi,Cross Cutting Area,BD3068,3068,44,62,Very Low,Low,Very Low,Very Low,62
INFORM Socio-Economic Vulnerability,5.5,Dhaka,Rajbari,Cross Cutting Area,BD3082,3082,54,43,Low,Low,Low,Medium,45
INFORM Socio-Economic Vulnerability,5.2,Dhaka,Tangail,Cross Cutting Area,BD3093,3093,44,33,Medium,Low,Low,High,31
INFORM Socio-Economic Vulnerability,5.3,Khulna,Chuadanga,Cross Cutting Area,BD4018,4018,39,38,Low,Medium,Low,Very Low,45
INFORM Socio-Economic Vulnerability,5.1,Khulna,Jhenaidah,Cross Cutting Area,BD4044,4044,44,61,Very Low,Low,Very Low,Low,61
INFORM Socio-Economic Vulnerability,5.9,Khulna,Khulna,Cross Cutting Area,BD4047,4047,39,11,High,Medium,High,High,11
INFORM Socio-Economic Vulnerability,5.1,Khulna,Magura,Cross Cutting Area,BD4055,4055,44,59,Low,Low,Very Low,Medium,56
INFORM Socio-Economic Vulnerability,5.2,Khulna,Meherpur,Cross Cutting Area,BD4057,4057,54,51,Low,Low,Low,Low,56
INFORM Socio-Economic Vulnerability,4.7,Khulna,Narail,Cross Cutting Area,BD4065,4065,1,55,Low,Very High,Low,Very Low,45
INFORM Socio-Economic Vulnerability,5.5,Mymensingh,Mymensingh,Cross Cutting Area,BD4561,4561,10,46,Medium,Very High,Low,Medium,31
INFORM Socio-Economic Vulnerability,5.6,Mymensingh,Netrakona,Cross Cutting Area,BD4572,4572,10,32,High,Very High,Medium,Medium,16
INFORM Socio-Economic Vulnerability,5.9,Mymensingh,Sherpur,Cross Cutting Area,BD4589,4589,1,38,Medium,Very High,Low,Medium,25
INFORM Socio-Economic Vulnerability,5.4,Rajshahi,Bogura,Cross Cutting Area,BD5010,5010,44,23,Medium,Low,Medium,High,25
INFORM Vulnerability,3.8,Chattogram,Cumilla,Cross Cutting Area,BD2019,2019,62,62,Very Low,Very Low,Very Low,Medium,62
INFORM Vulnerability,4.8,Chattogram,Feni,Cross Cutting Area,BD2030,2030,17,43,Medium,High,Low,Medium,40
INFORM Vulnerability,5.5,Dhaka,Dhaka,Cross Cutting Area,BD3026,3026,39,23,Medium,Medium,Medium,Very Low,31
INFORM Vulnerability,4.9,Dhaka,Faridpur,Cross Cutting Area,BD3029,3029,44,38,Medium,Low,Low,High,40
INFORM Vulnerability,4.3,Dhaka,Gazipur,Cross Cutting Area,BD3033,3033,30,57,Low,Medium,Very Low,Very Low,56
INFORM Vulnerability,4.7,Dhaka,Madaripur,Cross Cutting Area,BD3054,3054,1,46,Medium,Very High,Low,High,25
INFORM Vulnerability,5.4,Dhaka,Manikganj,Cross Cutting Area,BD3056,3056,30,28,Medium,Medium,Medium,Low,25
INFORM Vulnerability,5,Dhaka,Munshiganj,Cross Cutting Area,BD3059,3059,44,35,Low,Low,Low,Very Low,52
INFORM Vulnerability,3,Dhaka,Narayanganj,Cross Cutting Area,BD3067,3067,30,64,Very Low,Medium,Very Low,Very Low,64
INFORM Vulnerability,3.8,Dhaka,Narsingdi,Cross Cutting Area,BD3068,3068,44,62,Very Low,Low,Very Low,Very Low,62
INFORM Vulnerability,4.8,Dhaka,Rajbari,Cross Cutting Area,BD3082,3082,54,43,Low,Low,Low,Medium,45
INFORM Vulnerability,5.1,Dhaka,Tangail,Cross Cutting Area,BD3093,3093,44,33,Medium,Low,Low,High,31
INFORM Vulnerability,4.9,Khulna,Chuadanga,Cross Cutting Area,BD4018,4018,39,38,Low,Medium,Low,Very Low,45
INFORM Vulnerability,4,Khulna,Jhenaidah,Cross Cutting Area,BD4044,4044,44,61,Very Low,Low,Very Low,Low,61
INFORM Vulnerability,5.9,Khulna,Khulna,Cross Cutting Area,BD4047,4047,39,11,High,Medium,High,High,11
INFORM Vulnerability,4.2,Khulna,Magura,Cross Cutting Area,BD4055,4055,44,59,Low,Low,Very Low,Medium,56
INFORM Vulnerability,4.6,Khulna,Meherpur,Cross Cutting Area,BD4057,4057,54,51,Low,Low,Low,Low,56
INFORM Vulnerability,4.4,Khulna,Narail,Cross Cutting Area,BD4065,4065,1,55,Low,Very High,Low,Very Low,45
INFORM Vulnerability,4.7,Mymensingh,Mymensingh,Cross Cutting Area,BD4561,4561,10,46,Medium,Very High,Low,Medium,31
INFORM Vulnerability,5.2,Mymensingh,Netrakona,Cross Cutting Area,BD4572,4572,10,32,High,Very High,Medium,Medium,16
INFORM Vulnerability,4.9,Mymensingh,Sherpur,Cross Cutting Area,BD4589,4589,1,38,Medium,Very High,Low,Medium,25
INFORM Vulnerability,5.5,Rajshahi,Bogura,Cross Cutting Area,BD5010,5010,44,23,Medium,Low,Medium,High,25
INFORM Vulnerable Groups,2.6,Chattogram,Cumilla,Cross Cutting Area,BD2019,2019,62,62,Very Low,Very Low,Very Low,Medium,62
INFORM Vulnerable Groups,5,Chattogram,Feni,Cross Cutting Area,BD2030,2030,17,43,Medium,High,Low,Medium,40
INFORM Vulnerable Groups,6.9,Dhaka,Dhaka,Cross Cutting Area,BD3026,3026,39,23,Medium,Medium,Medium,Very Low,31
INFORM Vulnerable Groups,4.9,Dhaka,Faridpur,Cross Cutting Area,BD3029,3029,44,38,Medium,Low,Low,High,40
INFORM Vulnerable Groups,4.5,Dhaka,Gazipur,Cross Cutting Area,BD3033,3033,30,57,Low,Medium,Very Low,Very Low,56
INFORM Vulnerable Groups,5.4,Dhaka,Madaripur,Cross Cutting Area,BD3054,3054,1,46,Medium,Very High,Low,High,25
INFORM Vulnerable Groups,5.2,Dhaka,Manikganj,Cross Cutting Area,BD3056,3056,30,28,Medium,Medium,Medium,Low,25
INFORM Vulnerable Groups,5.7,Dhaka,Munshiganj,Cross Cutting Area,BD3059,3059,44,35,Low,Low,Low,Very Low,52
INFORM Vulnerable Groups,2.5,Dhaka,Narayanganj,Cross Cutting Area,BD3067,3067,30,64,Very Low,Medium,Very Low,Very Low,64
INFORM Vulnerable Groups,2.7,Dhaka,Narsingdi,Cross Cutting Area,BD3068,3068,44,62,Very Low,Low,Very Low,Very Low,62
INFORM Vulnerable Groups,3.9,Dhaka,Rajbari,Cross Cutting Area,BD3082,3082,54,43,Low,Low,Low,Medium,45
INFORM Vulnerable Groups,4.9,Dhaka,Tangail,Cross Cutting Area,BD3093,3093,44,33,Medium,Low,Low,High,31
INFORM Vulnerable Groups,4.5,Khulna,Chuadanga,Cross Cutting Area,BD4018,4018,39,38,Low,Medium,Low,Very Low,45
INFORM Vulnerable Groups,2.6,Khulna,Jhenaidah,Cross Cutting Area,BD4044,4044,44,61,Very Low,Low,Very Low,Low,61
INFORM Vulnerable Groups,5.9,Khulna,Khulna,Cross Cutting Area,BD4047,4047,39,11,High,Medium,High,High,11
INFORM Vulnerable Groups,3.1,Khulna,Magura,Cross Cutting Area,BD4055,4055,44,59,Low,Low,Very Low,Medium,56
INFORM Vulnerable Groups,3.9,Khulna,Meherpur,Cross Cutting Area,BD4057,4057,54,51,Low,Low,Low,Low,56
INFORM Vulnerable Groups,4,Khulna,Narail,Cross Cutting Area,BD4065,4065,1,55,Low,Very High,Low,Very Low,45
INFORM Vulnerable Groups,3.7,Mymensingh,Mymensingh,Cross Cutting Area,BD4561,4561,10,46,Medium,Very High,Low,Medium,31
INFORM Vulnerable Groups,4.7,Mymensingh,Netrakona,Cross Cutting Area,BD4572,4572,10,32,High,Very High,Medium,Medium,16
INFORM Vulnerable Groups,3.8,Mymensingh,Sherpur,Cross Cutting Area,BD4589,4589,1,38,Medium,Very High,Low,Medium,25
INFORM Vulnerable Groups,5.6,Rajshahi,Bogura,Cross Cutting Area,BD5010,5010,44,23,Medium,Low,Medium,High,25
INFROM Institution,5.8,Chattogram,Cumilla,Cross Cutting Area,BD2019,2019,62,62,Very Low,Very Low,Very Low,Medium,62
INFROM Institution,7,Chattogram,Feni,Cross Cutting Area,BD2030,2030,17,43,Medium,High,Low,Medium,40
INFROM Institution,6.5,Dhaka,Dhaka,Cross Cutting Area,BD3026,3026,39,23,Medium,Medium,Medium,Very Low,31
INFROM Institution,6.2,Dhaka,Faridpur,Cross Cutting Area,BD3029,3029,44,38,Medium,Low,Low,High,40
INFROM Institution,6.6,Dhaka,Gazipur,Cross Cutting Area,BD3033,3033,30,57,Low,Medium,Very Low,Very Low,56
INFROM Institution,7.5,Dhaka,Madaripur,Cross Cutting Area,BD3054,3054,1,46,Medium,Very High,Low,High,25
INFROM Institution,6.3,Dhaka,Manikganj,Cross Cutting Area,BD3056,3056,30,28,Medium,Medium,Medium,Low,25
INFROM Institution,6.2,Dhaka,Munshiganj,Cross Cutting Area,BD3059,3059,44,35,Low,Low,Low,Very Low,52
INFROM Institution,6.5,Dhaka,Narayanganj,Cross Cutting Area,BD3067,3067,30,64,Very Low,Medium,Very Low,Very Low,64
INFROM Institution,6.3,Dhaka,Narsingdi,Cross Cutting Area,BD3068,3068,44,62,Very Low,Low,Very Low,Very Low,62
INFROM Institution,6.2,Dhaka,Rajbari,Cross Cutting Area,BD3082,3082,54,43,Low,Low,Low,Medium,45
INFROM Institution,6.1,Dhaka,Tangail,Cross Cutting Area,BD3093,3093,44,33,Medium,Low,Low,High,31
INFROM Institution,6.6,Khulna,Chuadanga,Cross Cutting Area,BD4018,4018,39,38,Low,Medium,Low,Very Low,45
INFROM Institution,6.4,Khulna,Jhenaidah,Cross Cutting Area,BD4044,4044,44,61,Very Low,Low,Very Low,Low,61
INFROM Institution,6.2,Khulna,Khulna,Cross Cutting Area,BD4047,4047,39,11,High,Medium,High,High,11
INFROM Institution,6.5,Khulna,Magura,Cross Cutting Area,BD4055,4055,44,59,Low,Low,Very Low,Medium,56
INFROM Institution,6.5,Khulna,Meherpur,Cross Cutting Area,BD4057,4057,54,51,Low,Low,Low,Low,56
INFROM Institution,7.5,Khulna,Narail,Cross Cutting Area,BD4065,4065,1,55,Low,Very High,Low,Very Low,45
INFROM Institution,6.6,Mymensingh,Mymensingh,Cross Cutting Area,BD4561,4561,10,46,Medium,Very High,Low,Medium,31
INFROM Institution,6.5,Mymensingh,Netrakona,Cross Cutting Area,BD4572,4572,10,32,High,Very High,Medium,Medium,16
INFROM Institution,6.4,Mymensingh,Sherpur,Cross Cutting Area,BD4589,4589,1,38,Medium,Very High,Low,Medium,25
INFROM Institution,6.3,Rajshahi,Bogura,Cross Cutting Area,BD5010,5010,44,23,Medium,Low,Medium,High,25
LACK OF COPING CAPACITY,4.5,Chattogram,Cumilla,Cross Cutting Area,BD2019,2019,62,62,Very Low,Very Low,Very Low,Medium,62
LACK OF COPING CAPACITY,5.3,Chattogram,Feni,Cross Cutting Area,BD2030,2030,17,43,Medium,High,Low,Medium,40
LACK OF COPING CAPACITY,5,Dhaka,Dhaka,Cross Cutting Area,BD3026,3026,39,23,Medium,Medium,Medium,Very Low,31
LACK OF COPING CAPACITY,4.9,Dhaka,Faridpur,Cross Cutting Area,BD3029,3029,44,38,Medium,Low,Low,High,40
LACK OF COPING CAPACITY,5.1,Dhaka,Gazipur,Cross Cutting Area,BD3033,3033,30,57,Low,Medium,Very Low,Very Low,56
LACK OF COPING CAPACITY,5.7,Dhaka,Madaripur,Cross Cutting Area,BD3054,3054,1,46,Medium,Very High,Low,High,25
LACK OF COPING CAPACITY,5.1,Dhaka,Manikganj,Cross Cutting Area,BD3056,3056,30,28,Medium,Medium,Medium,Low,25
LACK OF COPING CAPACITY,4.9,Dhaka,Munshiganj,Cross Cutting Area,BD3059,3059,44,35,Low,Low,Low,Very Low,52
LACK OF COPING CAPACITY,5.1,Dhaka,Narayanganj,Cross Cutting Area,BD3067,3067,30,64,Very Low,Medium,Very Low,Very Low,64
LACK OF COPING CAPACITY,4.9,Dhaka,Narsingdi,Cross Cutting Area,BD3068,3068,44,62,Very Low,Low,Very Low,Very Low,62
LACK OF COPING CAPACITY,4.8,Dhaka,Rajbari,Cross Cutting Area,BD3082,3082,54,43,Low,Low,Low,Medium,45
LACK OF COPING CAPACITY,4.9,Dhaka,Tangail,Cross Cutting Area,BD3093,3093,44,33,Medium,Low,Low,High,31
