area_of_origin,area_of_destination,sex,migrants_1990,migrants_1995,migrants_2000,migrants_2005,migrants_2010,migrants_2015,migrants_2020,origin_iso,destination_iso,origin_population_2000,origin_population_2010,origin_population_2015,origin_population_2020,destination_population_2000,destination_population_2010,destination_population_2015,destination_population_2020
Afghanistan,Turkey,female,3777,4400,3871,4105,4918,42394,57012,AFG,TUR,19542982,28189672,33753499,38972230,64113547,73142150,78218479,83384680
Afghanistan,Turkey,male,3875,5233,5149,5255,6156,51608,60583,AFG,TUR,19542982,28189672,33753499,38972230,64113547,73142150,78218479,83384680
Afghanistan,Ukraine,female,607,571,542,494,583,1076,1092,AFG,UKR,19542982,28189672,33753499,38972230,49176500,45870741,45167350,44207754
Afghanistan,Ukraine,male,1945,1897,1874,1713,2022,3736,3799,AFG,UKR,19542982,28189672,33753499,38972230,49176500,45870741,45167350,44207754
Afghanistan,United Arab Emirates,female,469,592,757,989,2060,2339,2551,AFG,ARE,19542982,28189672,33753499,38972230,3275333,8481771,8916899,9287289
Afghanistan,United Arab Emirates,male,1161,1496,1911,2219,4818,5176,5640,AFG,ARE,19542982,28189672,33753499,38972230,3275333,8481771,8916899,9287289
Afghanistan,United Kingdom,female,543,2723,4957,13699,14167,17462,19894,AFG,GBR,19542982,28189672,33753499,38972230,58892514,62766365,65116219,67081234
Afghanistan,United Kingdom,male,1533,5437,9425,22321,23862,28054,31482,AFG,GBR,19542982,28189672,33753499,38972230,58892514,62766365,65116219,67081234
Afghanistan,United States of America,female,12687,16475,20307,22644,28829,36194,70366,AFG,USA,19542982,28189672,33753499,38972230,282162411,309327143,320738994,331526933
Afghanistan,United States of America,male,15757,20837,26035,29321,30501,37912,72138,AFG,USA,19542982,28189672,33753499,38972230,282162411,309327143,320738994,331526933
Algeria,Philippines,female,351,481,262,208,225,228,241,DZA,PHL,30774621,35856344,39543154,43451666,77958223,94636700,103031365,112190977
Algeria,Philippines,male,444,588,279,229,229,234,249,DZA,PHL,30774621,35856344,39543154,43451666,77958223,94636700,103031365,112190977
Armenia,Iran,female,319,317,630,933,797,607,503,ARM,IRN,3168523,2946293,2878595,2805608,65544383,75373855,81790841,87290193
Armenia,Iran,male,252,258,657,934,720,578,486,ARM,IRN,3168523,2946293,2878595,2805608,65544383,75373855,81790841,87290193
Australia,China,female,248,462,694,899,1026,1207,1313,AUS,CHN,19028802,22031750,23815995,25649248,1262645000,1337705000,1379860000,1411100000
Australia,China,male,363,652,961,1493,1995,2519,2739,AUS,CHN,19028802,22031750,23815995,25649248,1262645000,1337705000,1379860000,1411100000
Australia,Fiji,female,619,664,708,805,852,868,898,AUS,FJI,19028802,22031750,23815995,25649248,832509,905169,917200,920422
Australia,Fiji,male,687,741,781,901,980,1019,1043,AUS,FJI,19028802,22031750,23815995,25649248,832509,905169,917200,920422
Australia,Hong Kong,female,2583,2903,3222,3694,4174,4398,4741,AUS,HKG,19028802,22031750,23815995,25649248,6665000,7024200,7291300,7481000
Australia,Hong Kong,male,3509,3896,4284,4501,4729,4700,4745,AUS,HKG,19028802,22031750,23815995,25649248,6665000,7024200,7291300,7481000
Australia,India,female,1772,1093,414,1190,2181,2070,1969,AUS,IND,19028802,22031750,23815995,25649248,1059633675,1240613620,1322866505,1396387127
Australia,India,male,1344,871,398,1655,2219,2029,1864,AUS,IND,19028802,22031750,23815995,25649248,1059633675,1240613620,1322866505,1396387127
Australia,Indonesia,female,2471,1592,713,2193,4052,4388,4621,AUS,IDN,19028802,22031750,23815995,25649248,214072421,244016173,259091970,271857970
Australia,Indonesia,male,3492,2353,1215,3486,5744,6456,6779,AUS,IDN,19028802,22031750,23815995,25649248,214072421,244016173,259091970,271857970
Australia,Laos,male,10,10,9,9,76,144,155,AUS,LAO,19028802,22031750,23815995,25649248,5430853,6323418,6787419,7319399
Australia,Malaysia,female,945,1078,1528,1949,2243,2689,2764,AUS,MYS,19028802,22031750,23815995,25649248,22945150,28717731,31068833,33199993
Australia,Malaysia,male,906,1040,1461,2056,2523,3122,3393,AUS,MYS,19028802,22031750,23815995,25649248,22945150,28717731,31068833,33199993
