iso3,country,year,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_internal_displacements,conflict_internal_displacements_raw,disaster_internal_displacements,disaster_internal_displacements_raw,disaster_stock_displacement,disaster_stock_displacement_raw,total_displacement,population,disaster_per_100k,conflict_per_100k,total_displacement_per_100k
PHL,Philippines,2019,182000,181815,183000,183273,4495000,4495400,181000,180681,362496,110380804,163.688788,164.71614,328.404928
PNG,Papua New Guinea,2019,14000,13873,1300,1279,31000,30994,11000,11408,25281,9542486,119.54956,145.381403,264.930962
PRK,Dem. People's Rep. Korea,2019,NA,0,NA,NA,6400,6362,930,927,927,25755441,3.599239,0,3.599239
THA,Thailand,2019,41000,40584,NA,NA,61000,61352,450,448,41032,71307763,0.628263,56.913859,57.542122
VNM,Viet Nam,2019,NA,0,NA,NA,89000,88749,7200,7206,7206,95776716,7.523749,0,7.523749
VUT,Vanuatu,2019,NA,0,NA,NA,1000,1000,140,138,138,304404,45.33449,0,45.33449
AFG,Afghanistan,2018,2598000,2597897,372000,371779,435000,435446,NA,0,0,36686784,NA,7081.288455,0
AUS,Australia,2018,NA,0,NA,NA,11000,11255,NA,0,0,24963258,NA,0,0
BGD,Bangladesh,2018,426000,426070,300,300,78000,77788,NA,0,0,163683958,NA,260.300402,0
CHN,China,2018,NA,0,NA,NA,4033000,4032786,NA,0,0,1402760000,NA,0,0
FJI,Fiji,2018,NA,0,NA,NA,10000,10087,NA,0,0,918996,NA,0,0
HKG,"Hong Kong, China",2018,NA,0,NA,NA,1400,1400,NA,0,0,7452600,NA,0,0
IDN,Indonesia,2018,13000,13352,4500,4477,853000,853155,NA,0,0,267066843,NA,4.999497,0
IND,India,2018,479000,479446,169000,169172,2675000,2675414,NA,0,0,1369003306,NA,35.021537,0
IRN,Iran,2018,NA,0,NA,NA,74000,73913,NA,0,0,85617562,NA,0,0
JPN,Japan,2018,NA,0,NA,NA,146000,145997,NA,0,0,126811000,NA,0,0
KHM,Cambodia,2018,NA,0,NA,NA,37000,37177,NA,0,0,16025238,NA,0,0
LAO,Lao PDR,2018,NA,0,NA,NA,19000,19021,NA,0,0,7105006,NA,0,0
MAC,"Macao, China",2018,NA,0,NA,NA,5600,5650,NA,0,0,650991,NA,0,0
MDV,Maldives,2018,NA,0,NA,NA,20,20,NA,0,0,489758,NA,0,0
MMR,Myanmar,2018,401000,401168,42000,42434,298000,298023,NA,0,0,52666014,NA,761.720832,0
MYS,Malaysia,2018,NA,0,NA,NA,38000,37983,NA,0,0,32399271,NA,0,0
NZL,New Zealand,2018,NA,0,NA,NA,990,989,NA,0,0,4900600,NA,0,0
PAK,Pakistan,2018,117000,116913,1700,1749,1900,1926,NA,0,0,219731479,NA,53.207215,0
PHL,Philippines,2018,301000,300806,188000,188314,3802000,3801620,NA,0,0,108568836,NA,277.064774,0
PNG,Papua New Guinea,2018,12000,12080,NA,NA,61000,61028,NA,0,0,9329227,NA,129.48554,0
PRK,Dem. People's Rep. Korea,2018,NA,0,NA,NA,69000,68826,NA,0,0,25638149,NA,0,0
THA,Thailand,2018,41000,40584,NA,NA,4600,4648,NA,0,0,71127802,NA,57.057858,0
TON,Tonga,2018,NA,0,NA,NA,5700,5700,NA,0,0,105150,NA,0,0
VNM,Viet Nam,2018,NA,0,NA,NA,143000,143047,NA,0,0,94914330,NA,0,0
VUT,Vanuatu,2018,NA,0,NA,NA,13000,12972,NA,0,0,297298,NA,0,0
AFG,Afghanistan,2017,1286000,1286483,474000,473892,27000,26871,NA,0,0,35643418,NA,3609.314348,0
AUS,Australia,2017,NA,0,NA,NA,31000,30939,NA,0,0,24592588,NA,0,0
BGD,Bangladesh,2017,432000,432070,6000,6000,946000,946119,NA,0,0,161793964,NA,267.049517,0
BRN,Brunei,2017,NA,0,NA,NA,94,94,NA,0,0,430276,NA,0,0
CHN,China,2017,NA,0,NA,NA,4463000,4463319,NA,0,0,1396215000,NA,0,0
FJI,Fiji,2017,NA,0,NA,NA,370,374,NA,0,0,919019,NA,0,0
HKG,"Hong Kong, China",2017,NA,0,NA,NA,3300,3292,NA,0,0,7393200,NA,0,0
