area_of_origin,area_of_destination,year,sex,migrants,origin_iso,destination_iso,origin_population,destination_population
Afghanistan,Germany,2000,female,32463,AFG,DEU,19542982,82211508
Afghanistan,Germany,2000,male,37331,AFG,DEU,19542982,82211508
Afghanistan,Germany,2005,female,34082,AFG,DEU,24411191,82469422
Afghanistan,Germany,2005,male,41742,AFG,DEU,24411191,82469422
Afghanistan,Germany,2010,female,35245,AFG,DEU,28189672,81776930
Afghanistan,Germany,2010,male,45003,AFG,DEU,28189672,81776930
Afghanistan,Germany,2015,female,36386,AFG,DEU,33753499,81686611
Afghanistan,Germany,2015,male,45975,AFG,DEU,33753499,81686611
Afghanistan,Germany,2020,female,96625,AFG,DEU,38972230,83160871
Afghanistan,Germany,2020,male,153819,AFG,DEU,38972230,83160871
Afghanistan,Greece,2000,female,52,AFG,GRC,19542982,10805808
Afghanistan,Greece,2000,male,279,AFG,GRC,19542982,10805808
Afghanistan,Greece,2005,female,660,AFG,GRC,24411191,10987314
Afghanistan,Greece,2005,male,2741,AFG,GRC,24411191,10987314
Afghanistan,Greece,2010,female,1317,AFG,GRC,28189672,11121341
Afghanistan,Greece,2010,male,5387,AFG,GRC,28189672,11121341
Afghanistan,Greece,2015,female,2975,AFG,GRC,33753499,10820883
Afghanistan,Greece,2015,male,2835,AFG,GRC,33753499,10820883
Afghanistan,Greece,2020,female,22458,AFG,GRC,38972230,10698599
Afghanistan,Greece,2020,male,22835,AFG,GRC,38972230,10698599
Afghanistan,Guinea,2015,male,3,AFG,GIN,33753499,11625998
Afghanistan,Guinea,2020,male,1,AFG,GIN,38972230,13205153
Afghanistan,Hungary,2000,female,206,AFG,HUN,19542982,10210971
Afghanistan,Hungary,2000,male,326,AFG,HUN,19542982,10210971
Afghanistan,Hungary,2005,female,911,AFG,HUN,24411191,10087065
Afghanistan,Hungary,2005,male,1474,AFG,HUN,24411191,10087065
Afghanistan,Hungary,2010,female,686,AFG,HUN,28189672,10000023
Afghanistan,Hungary,2010,male,1135,AFG,HUN,28189672,10000023
Afghanistan,Hungary,2015,female,2809,AFG,HUN,33753499,9843028
Afghanistan,Hungary,2015,male,6602,AFG,HUN,33753499,9843028
Afghanistan,Hungary,2020,female,553,AFG,HUN,38972230,9750149
Afghanistan,Hungary,2020,male,1263,AFG,HUN,38972230,9750149
Afghanistan,Iceland,2000,male,1,AFG,ISL,19542982,281205
Afghanistan,Iceland,2005,male,4,AFG,ISL,24411191,296734
Afghanistan,Iceland,2010,male,6,AFG,ISL,28189672,318041
Afghanistan,Iceland,2015,female,6,AFG,ISL,33753499,330815
Afghanistan,Iceland,2015,male,7,AFG,ISL,33753499,330815
Afghanistan,Iceland,2020,female,42,AFG,ISL,38972230,366463
Afghanistan,Iceland,2020,male,66,AFG,ISL,38972230,366463
Afghanistan,India,2000,female,6201,AFG,IND,19542982,1059633675
Afghanistan,India,2000,male,6593,AFG,IND,19542982,1059633675
Afghanistan,India,2005,female,7581,AFG,IND,24411191,1154638713
Afghanistan,India,2005,male,8211,AFG,IND,24411191,1154638713
Afghanistan,India,2010,female,9342,AFG,IND,28189672,1240613620
Afghanistan,India,2010,male,8743,AFG,IND,28189672,1240613620
Afghanistan,India,2015,female,8869,AFG,IND,33753499,1322866505
Afghanistan,India,2015,male,7982,AFG,IND,33753499,1322866505
Afghanistan,India,2020,female,8121,AFG,IND,38972230,1396387127
Afghanistan,India,2020,male,7973,AFG,IND,38972230,1396387127
Afghanistan,Iran,2000,female,999992,AFG,IRN,19542982,65544383
Afghanistan,Iran,2000,male,1232291,AFG,IRN,19542982,65544383
Afghanistan,Iran,2005,female,1071112,AFG,IRN,24411191,70182594
Afghanistan,Iran,2005,male,1305236,AFG,IRN,24411191,70182594
Afghanistan,Iran,2010,female,1160829,AFG,IRN,28189672,75373855
Afghanistan,Iran,2010,male,1411729,AFG,IRN,28189672,75373855
Afghanistan,Iran,2015,female,1191658,AFG,IRN,33753499,81790841
Afghanistan,Iran,2015,male,1429578,AFG,IRN,33753499,81790841
Afghanistan,Iran,2020,female,1239126,AFG,IRN,38972230,87290193
Afghanistan,Iran,2020,male,1471475,AFG,IRN,38972230,87290193
Afghanistan,Iraq,2000,female,201,AFG,IRQ,19542982,24628858
Afghanistan,Iraq,2000,male,68,AFG,IRQ,19542982,24628858
Afghanistan,Iraq,2005,female,170,AFG,IRQ,24411191,28698684
Afghanistan,Iraq,2005,male,143,AFG,IRQ,24411191,28698684
Afghanistan,Iraq,2010,female,164,AFG,IRQ,28189672,31264875
Afghanistan,Iraq,2010,male,156,AFG,IRQ,28189672,31264875
Afghanistan,Iraq,2015,female,134,AFG,IRQ,33753499,37757813
Afghanistan,Iraq,2015,male,178,AFG,IRQ,33753499,37757813
Afghanistan,Iraq,2020,female,144,AFG,IRQ,38972230,42556984
Afghanistan,Iraq,2020,male,170,AFG,IRQ,38972230,42556984
Afghanistan,Ireland,2000,female,33,AFG,IRL,19542982,3805174
Afghanistan,Ireland,2000,male,140,AFG,IRL,19542982,3805174
Afghanistan,Ireland,2005,female,31,AFG,IRL,24411191,4159914
Afghanistan,Ireland,2005,male,142,AFG,IRL,24411191,4159914
Afghanistan,Ireland,2010,female,28,AFG,IRL,28189672,4560155
Afghanistan,Ireland,2010,male,117,AFG,IRL,28189672,4560155
Afghanistan,Ireland,2015,female,29,AFG,IRL,33753499,4701957
Afghanistan,Ireland,2015,male,119,AFG,IRL,33753499,4701957
Afghanistan,Ireland,2020,female,31,AFG,IRL,38972230,4985382
Afghanistan,Ireland,2020,male,137,AFG,IRL,38972230,4985382
Afghanistan,Israel,2000,female,1485,AFG,ISR,19542982,6289000
Afghanistan,Israel,2000,male,1305,AFG,ISR,19542982,6289000
Afghanistan,Israel,2005,female,1375,AFG,ISR,24411191,6930100
Afghanistan,Israel,2005,male,1235,AFG,ISR,24411191,6930100
Afghanistan,Israel,2010,female,1284,AFG,ISR,28189672,7623600
Afghanistan,Israel,2010,male,1178,AFG,ISR,28189672,7623600
Afghanistan,Israel,2015,female,1331,AFG,ISR,33753499,8380100
Afghanistan,Israel,2015,male,1208,AFG,ISR,33753499,8380100
Afghanistan,Israel,2020,female,1291,AFG,ISR,38972230,9215100
Afghanistan,Israel,2020,male,1173,AFG,ISR,38972230,9215100
Afghanistan,Italy,2000,female,37,AFG,ITA,19542982,56942108
Afghanistan,Italy,2000,male,164,AFG,ITA,19542982,56942108
Afghanistan,Italy,2005,female,220,AFG,ITA,24411191,57969484
Afghanistan,Italy,2005,male,3164,AFG,ITA,24411191,57969484
Afghanistan,Italy,2010,female,341,AFG,ITA,28189672,59277417
Afghanistan,Italy,2010,male,5208,AFG,ITA,28189672,59277417
Afghanistan,Italy,2015,female,908,AFG,ITA,33753499,60730582
Afghanistan,Italy,2015,male,13985,AFG,ITA,33753499,60730582
Afghanistan,Italy,2020,female,1502,AFG,ITA,38972230,59438851
