island,atoll_official,population,atoll_local_name,concat
Mahibadhoo,Alif Dhekunu Buri,2580,Ari Atholhu Dhekunuburi,"Mahibadhoo, Alif Dhekunu Buri"
Mandhoo,Alif Dhekunu Buri,418,Ari Atholhu Dhekunuburi,"Mandhoo, Alif Dhekunu Buri"
Omadhoo,Alif Dhekunu Buri,913,Ari Atholhu Dhekunuburi,"Omadhoo, Alif Dhekunu Buri"
Felidhoo,Vaavu Atoll,620,Felidhe Atholhu,"Felidhoo, Vaavu Atoll"
Fulidhoo,Vaavu Atoll,400,Felidhe Atholhu,"Fulidhoo, Vaavu Atoll"
Keyodhoo,Vaavu Atoll,641,Felidhe Atholhu,"Keyodhoo, Vaavu Atoll"
Rakeedhoo,Vaavu Atoll,76,Felidhe Atholhu,"Rakeedhoo, Vaavu Atoll"
Thinadhoo,Vaavu Atoll,258,Felidhe Atholhu,"Thinadhoo, Vaavu Atoll"
Dhiggaru,Meemu Atoll,1099,Meemu (M),"Dhiggaru, Meemu Atoll"
Kolhufushi,Meemu Atoll,793,Meemu (M),"Kolhufushi, Meemu Atoll"
Maduvvari,Meemu Atoll,318,Meemu (M),"Maduvvari, Meemu Atoll"
Mulah,Meemu Atoll,1426,Meemu (M),"Mulah, Meemu Atoll"
Muli,Meemu Atoll,949,Meemu (M),"Muli, Meemu Atoll"
Naalaafushi,Meemu Atoll,430,Meemu (M),"Naalaafushi, Meemu Atoll"
Raimandhoo,Meemu Atoll,171,Meemu (M),"Raimandhoo, Meemu Atoll"
Veyvah,Meemu Atoll,304,Meemu (M),"Veyvah, Meemu Atoll"
Biledhdhoo,Faafu Atoll,967,Nilandhe Atholhu Uthuruburi,"Biledhdhoo, Faafu Atoll"
Dharaboodhoo,Faafu Atoll,455,Nilandhe Atholhu Uthuruburi,"Dharaboodhoo, Faafu Atoll"
Feeali,Faafu Atoll,922,Nilandhe Atholhu Uthuruburi,"Feeali, Faafu Atoll"
Magoodhoo,Faafu Atoll,702,Nilandhe Atholhu Uthuruburi,"Magoodhoo, Faafu Atoll"
Nilandhoo,Faafu Atoll,1823,Nilandhe Atholhu Uthuruburi,"Nilandhoo, Faafu Atoll"
Badidhoo,Dhaal Atoll,629,Nilandhe Atholhu Dhekunuburi,"Badidhoo, Dhaal Atoll"
Hulhudheli,Dhaal Atoll,764,Nilandhe Atholhu Dhekunuburi,"Hulhudheli, Dhaal Atoll"
Kudahuvadhoo,Dhaal Atoll,3131,Nilandhe Atholhu Dhekunuburi,"Kudahuvadhoo, Dhaal Atoll"
Maaeboodhoo,Dhaal Atoll,679,Nilandhe Atholhu Dhekunuburi,"Maaeboodhoo, Dhaal Atoll"
Meedhoo,Dhaal Atoll,1118,Nilandhe Atholhu Dhekunuburi,"Meedhoo, Dhaal Atoll"
Ribudhoo,Dhaal Atoll,316,Nilandhe Atholhu Dhekunuburi,"Ribudhoo, Dhaal Atoll"
Buruni,Thaa Atoll,414,Kolhumadulu Atholhu,"Buruni, Thaa Atoll"
Dhiyamigili,Thaa Atoll,649,Kolhumadulu Atholhu,"Dhiyamigili, Thaa Atoll"
Gaadhiffushi,Thaa Atoll,317,Kolhumadulu Atholhu,"Gaadhiffushi, Thaa Atoll"
Guraidhoo,Thaa Atoll,1293,Kolhumadulu Atholhu,"Guraidhoo, Thaa Atoll"
Hirilandhoo,Thaa Atoll,1146,Kolhumadulu Atholhu,"Hirilandhoo, Thaa Atoll"
Kadoodhoo,Thaa Atoll,456,Kolhumadulu Atholhu,"Kadoodhoo, Thaa Atoll"
Kibidhoo,Thaa Atoll,715,Kolhumadulu Atholhu,"Kibidhoo, Thaa Atoll"
Madifushi,Thaa Atoll,858,Kolhumadulu Atholhu,"Madifushi, Thaa Atoll"
Omadhoo,Thaa Atoll,417,Kolhumadulu Atholhu,"Omadhoo, Thaa Atoll"
Thimarafushi,Thaa Atoll,1229,Kolhumadulu Atholhu,"Thimarafushi, Thaa Atoll"
Vandhoo,Thaa Atoll,364,Kolhumadulu Atholhu,"Vandhoo, Thaa Atoll"
Veymandoo,Thaa Atoll,1321,Kolhumadulu Atholhu,"Veymandoo, Thaa Atoll"
Vilufushi,Thaa Atoll,1081,Kolhumadulu Atholhu,"Vilufushi, Thaa Atoll"
Dhabidhoo,Laamu Atoll,606,Hadhdhummathi Atholhu,"Dhabidhoo, Laamu Atoll"
Fonadhoo,Laamu Atoll,2986,Hadhdhummathi Atholhu,"Fonadhoo, Laamu Atoll"
Gamu,Laamu Atoll,4815,Hadhdhummathi Atholhu,"Gamu, Laamu Atoll"
Hithadhoo,Laamu Atoll,1108,Hadhdhummathi Atholhu,"Hithadhoo, Laamu Atoll"
Isdhoo,Laamu Atoll,929,Hadhdhummathi Atholhu,"Isdhoo, Laamu Atoll"
Kalaidhoo,Laamu Atoll,655,Hadhdhummathi Atholhu,"Kalaidhoo, Laamu Atoll"
Kunahandhoo,Laamu Atoll,601,Hadhdhummathi Atholhu,"Kunahandhoo, Laamu Atoll"
Maabaidhoo,Laamu Atoll,565,Hadhdhummathi Atholhu,"Maabaidhoo, Laamu Atoll"
Maamendhoo,Laamu Atoll,879,Hadhdhummathi Atholhu,"Maamendhoo, Laamu Atoll"
Maavah,Laamu Atoll,1379,Hadhdhummathi Atholhu,"Maavah, Laamu Atoll"
Mundoo,Laamu Atoll,176,Hadhdhummathi Atholhu,"Mundoo, Laamu Atoll"
Dhaandhoo,Gaaf Alif Atoll,1044,Huvadhu Atholhu Uthuruburi,"Dhaandhoo, Gaaf Alif Atoll"
Dhevvadhoo,Gaaf Alif Atoll,599,Huvadhu Atholhu Uthuruburi,"Dhevvadhoo, Gaaf Alif Atoll"
Gemanafushi,Gaaf Alif Atoll,1318,Huvadhu Atholhu Uthuruburi,"Gemanafushi, Gaaf Alif Atoll"
Kanduhulhudhoo,Gaaf Alif Atoll,619,Huvadhu Atholhu Uthuruburi,"Kanduhulhudhoo, Gaaf Alif Atoll"
Kodey,Gaaf Alif Atoll,328,Huvadhu Atholhu Uthuruburi,"Kodey, Gaaf Alif Atoll"
Kolamaafushi,Gaaf Alif Atoll,636,Huvadhu Atholhu Uthuruburi,"Kolamaafushi, Gaaf Alif Atoll"
Maamendhoo,Gaaf Alif Atoll,1201,Huvadhu Atholhu Uthuruburi,"Maamendhoo, Gaaf Alif Atoll"
Nilandhoo,Gaaf Alif Atoll,545,Huvadhu Atholhu Uthuruburi,"Nilandhoo, Gaaf Alif Atoll"
Viligili,Gaaf Alif Atoll,2900,Huvadhu Atholhu Uthuruburi,"Viligili, Gaaf Alif Atoll"
Fares-Maathodaa,Gaaf Dhaal Atoll,858,Huvadhu Atholhu Dhekunuburi,"Fares-Maathodaa, Gaaf Dhaal Atoll"
Fiyoari,Gaaf Dhaal Atoll,637,Huvadhu Atholhu Dhekunuburi,"Fiyoari, Gaaf Dhaal Atoll"
Gadhdhoo,Gaaf Dhaal Atoll,1414,Huvadhu Atholhu Dhekunuburi,"Gadhdhoo, Gaaf Dhaal Atoll"
Hoadedhdhoo,Gaaf Dhaal Atoll,885,Huvadhu Atholhu Dhekunuburi,"Hoadedhdhoo, Gaaf Dhaal Atoll"
Madaveli,Gaaf Dhaal Atoll,1219,Huvadhu Atholhu Dhekunuburi,"Madaveli, Gaaf Dhaal Atoll"
Nadallaa,Gaaf Dhaal Atoll,581,Huvadhu Atholhu Dhekunuburi,"Nadallaa, Gaaf Dhaal Atoll"
Rathafandhoo,Gaaf Dhaal Atoll,431,Huvadhu Atholhu Dhekunuburi,"Rathafandhoo, Gaaf Dhaal Atoll"
Thinadhoo,Gaaf Dhaal Atoll,6217,Huvadhu Atholhu Dhekunuburi,"Thinadhoo, Gaaf Dhaal Atoll"
Vaadhoo,Gaaf Dhaal Atoll,516,Huvadhu Atholhu Dhekunuburi,"Vaadhoo, Gaaf Dhaal Atoll"
Fuvahmulah,Gnaviyani Atoll,9177,Fuvahmulah,"Fuvahmulah, Gnaviyani Atoll"
Feydhoo,Seenu Atoll,4289,Addu Atholhu,"Feydhoo, Seenu Atoll"
Hithadhoo,Seenu Atoll,13759,Addu Atholhu,"Hithadhoo, Seenu Atoll"
Hulhudhoo,Seenu Atoll,1182,Addu Atholhu,"Hulhudhoo, Seenu Atoll"
Maradhoo,Seenu Atoll,2542,Addu Atholhu,"Maradhoo, Seenu Atoll"
Maradhoo-Feydhoo,Seenu Atoll,1398,Addu Atholhu,"Maradhoo-Feydhoo, Seenu Atoll"
Meedhoo,Seenu Atoll,1892,Addu Atholhu,"Meedhoo, Seenu Atoll"
