adm1_pcode,atoll_official,island,adm2_en,adm2_pcode,local_names,concat
MV010,Vaavu Atoll,Thinadhoo,Thinadhoo,MV010002,Vaavu (V),"Thinadhoo, Vaavu (V)"
MV011,Faafu Atoll,Biledhdhoo,Bileiydhoo,MV011002,Faafu (F),"Biledhdhoo, Faafu (F)"
MV011,Faafu Atoll,Dharaboodhoo,Dharan'boodhoo,MV011004,Faafu (F),"Dharaboodhoo, Faafu (F)"
MV011,Faafu Atoll,Feeali,Feeali,MV011001,Faafu (F),"Feeali, Faafu (F)"
MV011,Faafu Atoll,Magoodhoo,Magoodhoo,MV011003,Faafu (F),"Magoodhoo, Faafu (F)"
MV011,Faafu Atoll,Nilandhoo,Nilandhoo,MV011005,Faafu (F),"Nilandhoo, Faafu (F)"
MV012,Dhaal Atoll,Badidhoo,Ban'didhoo,MV012002,Dhaalu (Dh),"Badidhoo, Dhaalu (Dh)"
MV012,Dhaal Atoll,Hulhudheli,Hulhudheli,MV012004,Dhaalu (Dh),"Hulhudheli, Dhaalu (Dh)"
MV012,Dhaal Atoll,Kudahuvadhoo,Kudahuvadhoo,MV012008,Dhaalu (Dh),"Kudahuvadhoo, Dhaalu (Dh)"
MV012,Dhaal Atoll,Maaeboodhoo,Maaen'boodhoo,MV012007,Dhaalu (Dh),"Maaeboodhoo, Dhaalu (Dh)"
MV012,Dhaal Atoll,Hulhumeedhoo,Meedhoo,MV012001,Dhaalu (Dh),"Hulhumeedhoo, Dhaalu (Dh)"
MV012,Dhaal Atoll,Ribudhoo,Rin'budhoo,MV012003,Dhaalu (Dh),"Ribudhoo, Dhaalu (Dh)"
MV013,Meemu Atoll,Dhiggaru,Dhiggaru,MV013008,Meemu (M),"Dhiggaru, Meemu (M)"
MV013,Meemu Atoll,Kolhufushi,Kolhufushi,MV013007,Meemu (M),"Kolhufushi, Meemu (M)"
MV013,Meemu Atoll,Maduvvari,Maduvvari,MV013009,Meemu (M),"Maduvvari, Meemu (M)"
MV013,Meemu Atoll,Mulah,Mulah,MV013004,Meemu (M),"Mulah, Meemu (M)"
MV013,Meemu Atoll,Muli,Muli,MV013005,Meemu (M),"Muli, Meemu (M)"
MV013,Meemu Atoll,Naalaafushi,Naalaafushi,MV013006,Meemu (M),"Naalaafushi, Meemu (M)"
MV013,Meemu Atoll,Raimandhoo,Raiymandhoo,MV013001,Meemu (M),"Raimandhoo, Meemu (M)"
MV013,Meemu Atoll,Veyvah,Veyvah,MV013003,Meemu (M),"Veyvah, Meemu (M)"
MV014,Thaa Atoll,Buruni,Burunee,MV014001,Thaa (Th),"Buruni, Thaa (Th)"
MV014,Thaa Atoll,Dhiyamigili,Dhiyamigili,MV014004,Thaa (Th),"Dhiyamigili, Thaa (Th)"
MV014,Thaa Atoll,Gaadhiffushi,Gaadhiffushi,MV014009,Thaa (Th),"Gaadhiffushi, Thaa (Th)"
