Atoll,island,atoll_official,indicator_full,value,sex_modifier,population_modifier,indicator,indicator2,value2
HA,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Child Population (0-17 yrs) Both sexes,171,Both sexes,Resident Maldivians, 2022 Child Population (0-17 yrs) Both sexes, 2022 Child Population (0-17 yrs) Both sexes,171
HA,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Child Population (International) (0-14 yrs) Both sexes,142,Both sexes,Resident Maldivians, 2022 Child Population (International) (0-14 yrs) Both sexes, 2022 Child Population (International) (0-14 yrs) Both sexes,142
HA,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Adolescent Population (International) (10-19 yrs) Both sexes,84,Both sexes,Resident Maldivians, 2022 Adolescent Population (International) (10-19 yrs) Both sexes, 2022 Adolescent Population (International) (10-19 yrs) Both sexes,84
HA,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Working Age Population (15-64 yrs) Both sexes,342,Both sexes,Resident Maldivians, 2022 Working Age Population (15-64 yrs) Both sexes, 2022 Working Age Population (15-64 yrs) Both sexes,342
HA,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Youth Population (International) (15-24 yrs) Both sexes,55,Both sexes,Resident Maldivians, 2022 Youth Population (International) (15-24 yrs) Both sexes, 2022 Youth Population (International) (15-24 yrs) Both sexes,55
HA,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Youth Population (National) (18-35 yrs) Both sexes,117,Both sexes,Resident Maldivians, 2022 Youth Population (National) (18-35 yrs) Both sexes, 2022 Youth Population (National) (18-35 yrs) Both sexes,117
HA,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Elderly Population  (65+ yrs) Both sexes,45,Both sexes,Resident Maldivians, 2022 Elderly Population  (65+ yrs) Both sexes, 2022 Elderly Population  (65+ yrs) Both sexes,45
HA,Filladhoo,Haa Alif Atoll,Resident Maldivian Population (%) Child Population (0-17 yrs),32.32514177693761,NA,Resident Maldivians, (%) Child Population (0-17 yrs), (%) Child Population (0-17 yrs),32.32514177693761
HA,Filladhoo,Haa Alif Atoll,Resident Maldivian Population (%) Child Population (International) (0-14 yrs),26.84310018903592,NA,Resident Maldivians, (%) Child Population (International) (0-14 yrs), (%) Child Population (International) (0-14 yrs),26.84310018903592
HA,Filladhoo,Haa Alif Atoll,Resident Maldivian Population (%) Adolescent Population (International) (10-19 yrs),15.879017013232513,NA,Resident Maldivians, (%) Adolescent Population (International) (10-19 yrs), (%) Adolescent Population (International) (10-19 yrs),15.879017013232513
HA,Filladhoo,Haa Alif Atoll,Resident Maldivian Population (%) Working Age Population (15-64 yrs),64.65028355387523,NA,Resident Maldivians, (%) Working Age Population (15-64 yrs), (%) Working Age Population (15-64 yrs),64.65028355387523
HA,Filladhoo,Haa Alif Atoll,Resident Maldivian Population (%) Youth Population (International) (15-24 yrs),10.396975425330812,NA,Resident Maldivians, (%) Youth Population (International) (15-24 yrs), (%) Youth Population (International) (15-24 yrs),10.396975425330812
HA,Filladhoo,Haa Alif Atoll,Resident Maldivian Population (%) Youth Population (National) (18-35 yrs),22.117202268431,NA,Resident Maldivians, (%) Youth Population (National) (18-35 yrs), (%) Youth Population (National) (18-35 yrs),22.117202268431
HA,Filladhoo,Haa Alif Atoll,Resident Maldivian Population (%) Elderly Population  (65+ yrs),8.5066162570888455,NA,Resident Maldivians, (%) Elderly Population  (65+ yrs), (%) Elderly Population  (65+ yrs),8.5066162570888455
HA,Filladhoo,Haa Alif Atoll,Area (in hectare),266.042832,NA,NA,Area (in hectare),Area (in hectare),266.042832
HA,Filladhoo,Haa Alif Atoll,Area (in sq km),2.66042832,NA,NA,Area (in sq km),Area (in sq km),2.66042832
HA,Filladhoo,Haa Alif Atoll,Population density Resident Maldivian Population,198.84016269981672,NA,Resident Maldivians,Population density ,Population density ,198.84016269981672
HA,Filladhoo,Haa Alif Atoll,Median Age Resident Maldivians,33,NA,Resident Maldivians,Median Age Resident Maldivians,Median Age Resident Maldivians,33
HA,Hoarafushi,Haa Alif Atoll,Resident Maldivians Population Both sexes,1654,Both sexes,Resident Maldivians,Resident Maldivians Population Both sexes,Resident Maldivians Population Both sexes,1654
HA,Hoarafushi,Haa Alif Atoll,Growth Rate (for Resident Maldivian Population - 2014 to 2022),-0.5332915652032113,NA,Resident Maldivians,Growth Rate (for  - 2014 to 2022),Growth Rate (for  - 2014 to 2022),-0.5332915652032113
