dataset,indicator,island,atoll_official,atoll_local_names,sort1,value,sort_order,administration,population,min,max,normalized_value,administration_level,range01
Population,Population,Dhangethi,Alif Dhekunu Buri,Alif Dhaal (ADh),9,936,9,Administrative Islands,Resident Population,0,52482,3.4098073005584113,admin3,0.01641033469450063
Population,Population,Dhidhdhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),9,141,9,Administrative Islands,Resident Population,0,52482,0.5333485935448333,admin3,0.0012403159943517917
Population,Population,Dhigurah,Alif Dhekunu Buri,Alif Dhaal (ADh),9,761,9,Administrative Islands,Resident Population,0,52482,2.776624566310139,admin3,0.013071022402015036
Population,Population,Fenfushi,Alif Dhekunu Buri,Alif Dhaal (ADh),9,1000,9,Administrative Islands,Resident Population,0,52482,3.641371271940636,admin3,0.017631568904323932
Population,Population,Hanghghaameedhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),9,484,9,Administrative Islands,Resident Population,0,52482,1.7743867526714463,admin3,0.007785368087623554
Population,Population,Kunburudhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),9,509,9,Administrative Islands,Resident Population,0,52482,1.8648414289926278,admin3,0.008262412700835782
Population,Population,Maamigili,Alif Dhekunu Buri,Alif Dhaal (ADh),9,2798,9,Administrative Islands,Resident Population,0,52482,10.146871592960023,admin3,0.05194061748654734
Population,Population,Mahibadhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),9,2580,9,Administrative Islands,Resident Population,0,52482,9.358106815439317,admin3,0.04778078845933672
Population,Population,Mandhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),9,418,9,Administrative Islands,Resident Population,0,52482,1.5355864071835266,admin3,0.006525970308743274
Population,Population,Omadhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),9,913,9,Administrative Islands,Resident Population,0,52482,3.326588998342924,admin3,0.015971453650345382
Population,Population,Felidhoo,Vaavu Atoll,Vaavu (V),11,620,11,Administrative Islands,Resident Population,0,52482,2.2664601918586746,admin3,0.010380490783498073
Population,Population,Fulidhoo,Vaavu Atoll,Vaavu (V),11,400,11,Administrative Islands,Resident Population,0,52482,1.4704590402322757,admin3,0.00618249818723047
Population,Population,Keyodhoo,Vaavu Atoll,Vaavu (V),11,641,11,Administrative Islands,Resident Population,0,52482,2.3424421199684673,admin3,0.010781208258596344
Population,Population,Rakeedhoo,Vaavu Atoll,Vaavu (V),11,76,11,Administrative Islands,Resident Population,0,52482,0.29816643510976093,admin3,0
Population,Population,Thinadhoo,Vaavu Atoll,Vaavu (V),11,258,11,Administrative Islands,Resident Population,0,52482,0.9566764787279637,admin3,0.003472884784185017
Population,Population,Dhiggaru,Meemu Atoll,Meemu (M),15,1099,15,Administrative Islands,Resident Population,0,52482,3.999571790172516,admin3,0.019520665572644355
Population,Population,Kolhufushi,Meemu Atoll,Meemu (M),15,793,15,Administrative Islands,Resident Population,0,52482,2.892406552001252,admin3,0.013681639506926687
Population,Population,Maduvvari,Meemu Atoll,Meemu (M),15,318,15,Administrative Islands,Resident Population,0,52482,1.1737677018987998,admin3,0.004617791855894364
Population,Population,Mulah,Meemu Atoll,Meemu (M),15,1426,15,Administrative Islands,Resident Population,0,52482,5.182718956453573,admin3,0.02576040911346029
Population,Population,Muli,Meemu Atoll,Meemu (M),15,949,15,Administrative Islands,Resident Population,0,52482,3.4568437322454253,admin3,0.016658397893370987
Population,Population,Naalaafushi,Meemu Atoll,Meemu (M),15,430,15,Administrative Islands,Resident Population,0,52482,1.5790046518176937,admin3,0.006754951723085143
Population,Population,Raimandhoo,Meemu Atoll,Meemu (M),15,171,15,Administrative Islands,Resident Population,0,52482,0.6418942051302513,admin3,0.001812769530206465
Population,Population,Veyvah,Meemu Atoll,Meemu (M),15,304,15,Administrative Islands,Resident Population,0,52482,1.123113083158938,admin3,0.004350646872495516
Population,Population,Biledhdhoo,Faafu Atoll,Faafu (F),14,967,14,Administrative Islands,Resident Population,0,52482,3.5219710991966764,admin3,0.01700187001488379
Population,Population,Dharaboodhoo,Faafu Atoll,Faafu (F),14,455,14,Administrative Islands,Resident Population,0,52482,1.6694593281388754,admin3,0.00723199633629737
Population,Population,Feeali,Faafu Atoll,Faafu (F),14,922,14,Administrative Islands,Resident Population,0,52482,3.3591526818185495,admin3,0.016143189711101784
Population,Population,Magoodhoo,Faafu Atoll,Faafu (F),14,702,14,Administrative Islands,Resident Population,0,52482,2.56315153019215,admin3,0.01194519711483418
Population,Population,Nilandhoo,Faafu Atoll,Faafu (F),14,1823,14,Administrative Islands,Resident Population,0,52482,6.619139216433938,admin3,0.03333587757127047
Population,Population,Badidhoo,Dhaal Atoll,Dhaalu (Dh),13,629,13,Administrative Islands,Resident Population,0,52482,2.2990238753343,admin3,0.010552226844254475
Population,Population,Hulhudheli,Dhaal Atoll,Dhaalu (Dh),13,764,13,Administrative Islands,Resident Population,0,52482,2.787479127468681,admin3,0.013128267755600503
Population,Population,Kudahuvadhoo,Dhaal Atoll,Dhaalu (Dh),13,3131,13,Administrative Islands,Resident Population,0,52482,11.351727881558162,admin3,0.05829485173453421
Population,Population,Maaeboodhoo,Dhaal Atoll,Dhaalu (Dh),13,679,13,Administrative Islands,Resident Population,0,52482,2.4799332279766633,admin3,0.01150631607067893
Population,Population,Meedhoo,Dhaal Atoll,Dhaalu (Dh),13,1118,13,Administrative Islands,Resident Population,0,52482,4.068317344176614,admin3,0.019883219478685647
Population,Population,Ribudhoo,Dhaal Atoll,Dhaalu (Dh),13,316,13,Administrative Islands,Resident Population,0,52482,1.1665313277931053,admin3,0.004579628286837385
Population,Population,Buruni,Thaa Atoll,Thaa (Th),16,414,16,Administrative Islands,Resident Population,0,52482,1.5211136589721375,admin3,0.006449643170629318
Population,Population,Dhiyamigili,Thaa Atoll,Thaa (Th),16,649,16,Administrative Islands,Resident Population,0,52482,2.3713876163912455,admin3,0.010933862534824257
Population,Population,Gaadhiffushi,Thaa Atoll,Thaa (Th),16,317,16,Administrative Islands,Resident Population,0,52482,1.1701495148459524,admin3,0.004598710071365874
Population,Population,Guraidhoo,Thaa Atoll,Thaa (Th),16,1293,16,Administrative Islands,Resident Population,0,52482,4.7015000784248855,admin3,0.02322253177117124
Population,Population,Hirilandhoo,Thaa Atoll,Thaa (Th),16,1146,16,Administrative Islands,Resident Population,0,52482,4.169626581656337,admin3,0.02041750944548334
Population,Population,Kadoodhoo,Thaa Atoll,Thaa (Th),16,456,16,Administrative Islands,Resident Population,0,52482,1.6730775151917228,admin3,0.00725107812082586
Population,Population,Kibidhoo,Thaa Atoll,Thaa (Th),16,715,16,Administrative Islands,Resident Population,0,52482,2.610187961879165,admin3,0.012193260313704537
Population,Population,Madifushi,Thaa Atoll,Thaa (Th),16,858,16,Administrative Islands,Resident Population,0,52482,3.1275887104363242,admin3,0.01492195550127848
Population,Population,Omadhoo,Thaa Atoll,Thaa (Th),16,417,16,Administrative Islands,Resident Population,0,52482,1.5319682201306792,admin3,0.006506888524214784
Population,Population,Thimarafushi,Thaa Atoll,Thaa (Th),16,1229,16,Administrative Islands,Resident Population,0,52482,4.469936107042661,admin3,0.022001297561347936
Population,Population,Vandhoo,Thaa Atoll,Thaa (Th),16,364,16,Administrative Islands,Resident Population,0,52482,1.3402043063297742,admin3,0.005495553944204862
Population,Population,Veymandoo,Thaa Atoll,Thaa (Th),16,1321,16,Administrative Islands,Resident Population,0,52482,4.802809315904609,admin3,0.023756821737968933
Population,Population,Vilufushi,Thaa Atoll,Thaa (Th),16,1081,16,Administrative Islands,Resident Population,0,52482,3.934444423221265,admin3,0.01917719345113155
Population,Population,Dhabidhoo,Laamu Atoll,Laamu (L),17,606,17,Administrative Islands,Resident Population,0,52482,2.215805573118813,admin3,0.010113345800099226
Population,Population,Fonadhoo,Laamu Atoll,Laamu (L),17,2986,17,Administrative Islands,Resident Population,0,52482,10.827090758895308,admin3,0.05552799297790329
Population,Population,Gamu,Laamu Atoll,Laamu (L),17,4815,17,Administrative Islands,Resident Population,0,52482,17.444754878552963,admin3,0.09042857688050987
Population,Population,Hithadhoo,Seenu Atoll,Addu (S),21,1108,21,Administrative Islands,Resident Population,0,52482,4.032135473648141,admin3,0.019692401633400757
Population,Population,Isdhoo,Laamu Atoll,Laamu (L),17,929,17,Administrative Islands,Resident Population,0,52482,3.3844799911884804,admin3,0.016276762202801207
Population,Population,Kalhaidhoo,Laamu Atoll,Laamu (L),17,655,17,Administrative Islands,Resident Population,0,52482,2.393096738708329,admin3,0.011048353241995192
Population,Population,Kunahandhoo,Laamu Atoll,Laamu (L),17,601,17,Administrative Islands,Resident Population,0,52482,2.1977146378545767,admin3,0.010017936877456779
Population,Population,Maabaidhoo,Laamu Atoll,Laamu (L),17,565,17,Administrative Islands,Resident Population,0,52482,2.067459903952075,admin3,0.009330992634431172
Population,Population,Maamendhoo,Laamu Atoll,Laamu (L),17,879,17,Administrative Islands,Resident Population,0,52482,3.2035706385461173,admin3,0.015322672976376751
Population,Population,Maavah,Laamu Atoll,Laamu (L),17,1379,17,Administrative Islands,Resident Population,0,52482,5.01266416496975,admin3,0.0248635652406213
Population,Population,Mundhoo,Laamu Atoll,Laamu (L),17,176,17,Administrative Islands,Resident Population,0,52482,0.6599851403944877,admin3,0.0019081784528489105
